Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Queen Anne, Seattle, Cascadia","queen anne, seattle, cascadia","queen anne, seattle, cascadia",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Garland, TX","garland, tx","garland, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"iPhone: 36.187325,-86.746086","iphone: 36.187325,-86.746086","36.187325,-86.746086",coordinates,1,36.187325,-86.746086
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
"Bucharest, Romania","bucharest, romania","bucharest, romania",text_location,1,,
"Baltimore, MD","baltimore, md","baltimore, md",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Europe,europe,europe,text_location,1,,
"Lahore, Pakistan","lahore, pakistan","lahore, pakistan",text_location,1,,
Germany-Berlin / KSA-Makkah,germany-berlin / ksa-makkah,germany-berlin  ksa-makkah,text_location,1,,
Goiânia,goiânia,goiânia,text_location,1,,
,,,unknown,0,,
Pikeville KY,pikeville ky,pikeville ky,text_location,1,,
,,,unknown,0,,
"Cairo, Egypt","cairo, egypt","cairo, egypt",text_location,1,,
"Billings, MT","billings, mt","billings, mt",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Amman,Irbid","amman,irbid","amman,irbid",text_location,1,,
NYC,nyc,nyc,text_location,1,,
"North Pole, Alaska","north pole, alaska","north pole, alaska",text_location,1,,
"Porto, Portugal","porto, portugal","porto, portugal",text_location,1,,
"Orlando, FL","orlando, fl","orlando, fl",text_location,1,,
,,,unknown,0,,
"Vannes, Bretagne","vannes, bretagne","vannes, bretagne",text_location,1,,
"14.597589,120.986844","14.597589,120.986844","14.597589,120.986844",coordinates,1,14.597589,120.986844
Mexico,mexico,mexico,text_location,1,,
"Concepción, Chile","concepción, chile","concepción, chile",text_location,1,,
,,,unknown,0,,
"Minneapolis, MN","minneapolis, mn","minneapolis, mn",text_location,1,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
Toronto,toronto,toronto,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Milano,milano,milano,text_location,1,,
"Reno, NV","reno, nv","reno, nv",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
DISTRITO FUNERAL MEXICO,distrito funeral mexico,distrito funeral mexico,text_location,1,,
"İzmir, Türkiye","i̇zmir, türkiye","izmir, türkiye",text_location,1,,
,,,unknown,0,,
São Paulo,são paulo,são paulo,text_location,1,,
Красноярск,красноярск,красноярск,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Washington / California,washington / california,washington  california,text_location,1,,
Greater Boston Area,greater boston area,greater boston area,text_location,1,,
Central New York,central new york,central new york,text_location,1,,
"Jakarta Timur, DKI Jakarta","jakarta timur, dki jakarta","jakarta timur, dki jakarta",text_location,1,,
Brooklyn,brooklyn,brooklyn,text_location,1,,
,,,unknown,0,,
"Oceanside, California","oceanside, california","oceanside, california",text_location,1,,
,,,unknown,0,,
New York / Miami,new york / miami,new york  miami,text_location,1,,
