profile_id_a,platform_a,userName_a,profile_id_b,platform_b,userName_b,block_key,similarity_score,name_sim,fullname_sim,url_sim,location_sim
10194,googleplus,joelhelbling,3,twitter,joelhelbling,simple_name_prefix3:joe,0.94,1.1,1.0,1.0,0.0
5351,instagram,jonikanerva,3,twitter,jonikanerva,simple_name_prefix3:jon,0.94,1.1,1.0,1.0,0.0
8815,instagram,erikatamaura,3,twitter,erikatamaura,simple_name_prefix3:eri,0.94,1.1,1.0,1.0,0.0
12960,instagram,ryanpratt,3,twitter,ryanpratt,simple_name_prefix3:rya,0.94,1.1,1.0,1.0,0.0
14342,instagram,zigah111,3,twitter,zigah111,simple_name_prefix3:zig,0.94,1.1,1.0,1.0,0.0
4528,instagram,bradydahl,3,twitter,bradydahl,simple_name_prefix3:bra,0.94,1.1,1.0,1.0,0.0
9960,instagram,jeffbone,3,twitter,jeffbone,simple_name_prefix3:jef,0.94,1.1,1.0,1.0,0.0
5943,instagram,paco_ep,3,twitter,paco_ep,simple_name_prefix3:pac,0.94,1.1,1.0,1.0,0.0
6204,instagram,sarahledesma,3,twitter,sarahledesma,simple_name_prefix3:sar,0.94,1.1,1.0,1.0,0.0
9577,instagram,iamarunr,3,twitter,iamarunr,simple_name_prefix3:iam,0.94,1.1,1.0,1.0,0.0
9579,instagram,iamlfb,3,twitter,iamlfb,simple_name_prefix3:iam,0.94,1.1,1.0,1.0,0.0
7359,instagram,brandonavance,3,twitter,brandonavance,simple_name_prefix3:bra,0.94,1.1,1.0,1.0,0.0
6172,instagram,sabrinadeeberry,3,twitter,sabrinadeeberry,simple_name_prefix3:sab,0.94,1.1,1.0,1.0,0.0
13049,instagram,sarahkuntsal,3,twitter,sarahkuntsal,simple_name_prefix3:sar,0.94,1.1,1.0,1.0,0.0
8237,instagram,darkmagepr,3,twitter,darkmagepr,simple_name_prefix3:dar,0.94,1.1,1.0,1.0,0.0
11631,instagram,mcoley,3,twitter,mcoley,simple_name_prefix3:mco,0.94,1.1,1.0,1.0,0.0
8239,instagram,dark_vivi,3,twitter,dark_vivi,simple_name_prefix3:dar,0.94,1.1,1.0,1.0,0.0
13054,instagram,sarataricani,3,twitter,sarataricani,simple_name_prefix3:sar,0.94,1.1,1.0,1.0,0.0
9582,instagram,iamstephenliu,3,twitter,iamstephenliu,simple_name_prefix3:iam,0.94,1.1,1.0,1.0,0.0
13515,instagram,sunupermana,3,twitter,sunupermana,simple_name_prefix3:sun,0.94,1.1,1.0,1.0,0.0
6200,instagram,saraconsuela,3,twitter,saraconsuela,simple_name_prefix3:sar,0.94,1.1,1.0,1.0,0.0
6202,instagram,sarahelles,3,twitter,sarahelles,simple_name_prefix3:sar,0.94,1.1,1.0,1.0,0.0
9784,instagram,jamesbergin,3,twitter,jamesbergin,simple_name_prefix3:jam,0.94,1.1,1.0,1.0,0.0
9345,instagram,guardic,3,twitter,guardic,simple_name_prefix3:gua,0.94,1.1,1.0,1.0,0.0
8824,instagram,erinjeany,3,twitter,erinjeany,simple_name_prefix3:eri,0.94,1.1,1.0,1.0,0.0
9961,instagram,jeffcameron,3,twitter,jeffcameron,simple_name_prefix3:jef,0.94,1.1,1.0,1.0,0.0
8667,instagram,ehrok,3,twitter,ehrok,simple_name_prefix3:ehr,0.94,1.1,1.0,1.0,0.0
5565,instagram,lgbttraveluk,3,twitter,lgbttraveluk,simple_name_prefix3:lgb,0.94,1.1,1.0,1.0,0.0
12040,instagram,eidolonnight,3,twitter,eidolonnight,simple_name_prefix3:eid,0.94,1.1,1.0,1.0,0.0
12523,instagram,prisqua,3,twitter,prisqua,simple_name_prefix3:pri,0.94,1.1,1.0,1.0,0.0
7525,instagram,bradhuss,3,twitter,bradhuss,simple_name_prefix3:bra,0.94,1.1,1.0,1.0,0.0
7536,instagram,brandondesign,3,twitter,brandondesign,simple_name_prefix3:bra,0.94,1.1,1.0,1.0,0.0
14267,instagram,yiyinglu,3,twitter,yiyinglu,simple_name_prefix3:yiy,0.94,1.1,1.0,1.0,0.0
11033,instagram,lizcappon,3,twitter,lizcappon,simple_name_prefix3:liz,0.94,1.1,1.0,1.0,0.0
11683,instagram,mickyates,3,twitter,mickyates,simple_name_prefix3:mic,0.94,1.1,1.0,1.0,0.0
5587,instagram,lmarinoaguirre,3,twitter,lmarinoaguirre,simple_name_prefix3:lma,0.94,1.1,1.0,1.0,0.0
11646,instagram,michaeljoel,3,twitter,michaeljoel,simple_name_prefix3:mic,0.94,1.1,1.0,1.0,0.0
4538,instagram,brettweaver,3,twitter,brettweaver,simple_name_prefix3:bre,0.94,1.1,1.0,1.0,0.0
6862,googleplus,alexandrabigley,3,twitter,alexandrabigley,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
6597,instagram,breizhell,3,twitter,breizhell,simple_name_prefix3:bre,0.94,1.1,1.0,1.0,0.0
5607,instagram,lugamx,3,twitter,lugamx,simple_name_prefix3:lug,0.94,1.1,1.0,1.0,0.0
4919,instagram,radschultz,3,twitter,radschultz,simple_name_prefix3:rad,0.94,1.1,1.0,1.0,0.0
4277,instagram,aleathwood,3,twitter,aleathwood,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
4279,instagram,alelongoni,3,twitter,alelongoni,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
4280,instagram,alessandromusic,3,twitter,alessandromusic,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
11157,instagram,luviweb,3,twitter,luviweb,simple_name_prefix3:luv,0.94,1.1,1.0,1.0,0.0
4287,instagram,alexdbk,3,twitter,alexdbk,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
7446,instagram,brentalexander,3,twitter,brentalexander,simple_name_prefix3:bre,0.94,1.1,1.0,1.0,0.0
6837,instagram,aled,3,twitter,aled,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
10981,instagram,sandwichlegend,3,twitter,sandwichlegend,simple_name_prefix3:san,0.94,1.1,1.0,1.0,0.0
6845,instagram,alejandrovaras,3,twitter,alejandrovaras,simple_name_prefix3:ale,0.94,1.1,1.0,1.0,0.0
13021,instagram,sanatawileh,3,twitter,sanatawileh,simple_name_prefix3:san,0.94,1.1,1.0,1.0,0.0
13024,instagram,sandieterenzi,3,twitter,sandieterenzi,simple_name_prefix3:san,0.94,1.1,1.0,1.0,0.0
14212,instagram,wwjimd,3,twitter,wwjimd,simple_name_prefix3:wwj,0.94,1.1,1.0,1.0,0.0
13027,instagram,sand625,3,twitter,sand625,simple_name_prefix3:san,0.94,1.1,1.0,1.0,0.0
8686,instagram,elbisnet,3,twitter,elbisnet,simple_name_prefix3:elb,0.94,1.1,1.0,1.0,0.0
11605,instagram,mfvisuals,3,twitter,mfvisuals,simple_name_prefix3:mfv,0.94,1.1,1.0,1.0,0.0
11655,instagram,michaelreuter,3,twitter,michaelreuter,simple_name_prefix3:mic,0.94,1.1,1.0,1.0,0.0
13033,instagram,saniday,3,twitter,saniday,simple_name_prefix3:san,0.94,1.1,1.0,1.0,0.0
9787,instagram,jamescuff,3,twitter,jamescuff,simple_name_prefix3:jam,0.94,1.1,1.0,1.0,0.0
