profile_id_a,platform_a,userName_a,profile_id_b,platform_b,userName_b,match_type
6618,instagram,0oyukao0,3,twitter,0oyukao0,exact_username
7184,instagram,110576,3,twitter,110576,exact_username
4733,instagram,12stepbuddhist,3,twitter,12stepbuddhist,exact_username
9574,instagram,1lx,3,twitter,1lx,exact_username
12202,instagram,1obennet,3,twitter,1obennet,exact_username
9592,instagram,1to1coach,3,twitter,1to1coach,exact_username
13910,instagram,1tuesdaygirl,3,twitter,1tuesdaygirl,exact_username
8429,instagram,24gotham,3,twitter,24gotham,exact_username
6478,instagram,2for1shows,3,twitter,2for1shows,exact_username
11809,instagram,33photo,3,twitter,33photo,exact_username
5571,instagram,4_inthemorning,3,twitter,4_inthemorning,exact_username
9257,instagram,4giul,3,twitter,4giul,exact_username
8984,instagram,5key,3,twitter,5key,exact_username
8308,instagram,72dg,3,twitter,72dg,exact_username
11582,instagram,73w,3,twitter,73w,exact_username
6663,instagram,7bc,3,twitter,7bc,exact_username
7577,instagram,7bn,3,twitter,7bn,exact_username
9573,instagram,8lettersuk,3,twitter,8lettersuk,exact_username
6667,instagram,a_alsobiae,3,twitter,a_alsobiae,exact_username
6721,instagram,a_doyharzabal,3,twitter,a_doyharzabal,exact_username
6889,instagram,a_sablan,3,twitter,a_sablan,exact_username
4213,instagram,aablumer,3,twitter,aablumer,exact_username
12146,instagram,aaddams,3,twitter,aaddams,exact_username
6727,instagram,aadrianobarboza,3,twitter,aadrianobarboza,exact_username
6647,instagram,aajain,3,twitter,aajain,exact_username
6648,instagram,aalampi,3,twitter,aalampi,exact_username
6649,instagram,aaljuma,3,twitter,aaljuma,exact_username
6820,instagram,aallan,3,twitter,aallan,exact_username
4390,instagram,aannecaroline,3,twitter,aannecaroline,exact_username
7287,instagram,aanrofik,3,twitter,aanrofik,exact_username
6650,instagram,aapremlall,3,twitter,aapremlall,exact_username
6990,instagram,aarenos,3,twitter,aarenos,exact_username
12756,instagram,aarmaee,3,twitter,aarmaee,exact_username
6651,instagram,aaronbavs,3,twitter,aaronbavs,exact_username
6652,googleplus,aaronboerger,6652,instagram,aaronboerger,exact_username
6652,googleplus,aaronboerger,3,twitter,aaronboerger,exact_username
6652,instagram,aaronboerger,3,twitter,aaronboerger,exact_username
6653,googleplus,aaronburden,6653,instagram,aaronburden,exact_username
7267,instagram,aaroncolorado,3,twitter,aaroncolorado,exact_username
6654,googleplus,aaroneden,6654,instagram,aaroneden,exact_username
