item_id,image_path,width,height,aspect_ratio,file_size_kb,blur_score,is_blurry,phash,num_faces,face_confidence,face_area_ratio,has_clip_embedding,has_face_embedding,top_label,top_label_score,label_scores,status,created_at,face_cluster_id,duplicate_group_id,is_duplicate
aajain_twitter_0edeb0c9,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aajain_twitter_0edeb0c9.jpg,400,400,1.0,33.32,501.57,False,e8fd207097676117,1,0.93,0.198,False,False,,0,{},done,2026-01-12T01:16:20.829476,-1,0,False
aaronbavs_twitter_3b9f5946,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aaronbavs_twitter_3b9f5946.jpg,400,400,1.0,26.27,369.41,False,a6074aab53ba4e56,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:20.894428,-1,1,False
abahgat_twitter_f1bec87b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abahgat_twitter_f1bec87b.jpg,400,400,1.0,33.08,551.94,False,c5466a1ba1de3d38,1,0.93,0.98,False,False,,0,{},done,2026-01-12T01:16:20.969205,-1,2,False
abdisk_twitter_4ee88404,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abdisk_twitter_4ee88404.jpg,400,400,1.0,21.11,743.28,False,abe512acd41ab9d1,1,0.89,0.183,False,False,,0,{},done,2026-01-12T01:16:21.023902,-1,3,False
abdullawissam_twitter_d17b7cc4,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abdullawissam_twitter_d17b7cc4.jpg,400,400,1.0,19.53,850.99,False,bac1164bcd96cb4c,1,0.9,0.09,False,False,,0,{},done,2026-01-12T01:16:21.057023,-1,4,False
abo1bs_twitter_7968cc9f,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abo1bs_twitter_7968cc9f.jpg,400,400,1.0,13.43,740.62,False,de9674a9d29580ad,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.081443,-1,5,False
acanadianfoodie_twitter_543d0d94,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\acanadianfoodie_twitter_543d0d94.jpg,400,400,1.0,20.02,245.16,False,efe050b613d8915b,1,0.93,0.265,False,False,,0,{},done,2026-01-12T01:16:21.119849,-1,6,False
acarrillo_twitter_b473fdbb,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\acarrillo_twitter_b473fdbb.jpg,400,400,1.0,24.01,617.19,False,efd08bb5862574c2,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.155696,-1,7,False
ackleysuicide_twitter_eded2b7b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ackleysuicide_twitter_eded2b7b.jpg,400,400,1.0,32.25,1075.12,False,c6b2394dc433d4bc,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.190631,-1,8,False
actifirmskincare_twitter_5511e1bb,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\actifirmskincare_twitter_5511e1bb.jpg,400,400,1.0,11.79,2431.28,False,c1c33e3cc6c3993c,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.219755,-1,9,False
adambonham_twitter_8d6a11cf,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adambonham_twitter_8d6a11cf.jpg,400,400,1.0,30.13,397.62,False,b0b105cbe26743e7,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.250975,-1,10,False
adamcarlson_twitter_79550e24,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamcarlson_twitter_79550e24.jpg,400,400,1.0,21.78,1442.97,False,ec4b96b1d384c13e,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.280716,-1,11,False
adamchristianson_twitter_474807a7,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamchristianson_twitter_474807a7.jpg,400,400,1.0,29.9,4762.39,False,b42533d1339a93ce,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.314872,-1,12,False
adamthede_twitter_267c4d28,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamthede_twitter_267c4d28.jpg,400,400,1.0,29.3,5531.25,False,aeb9d04613af4cf0,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.356242,-1,13,False
adamy_twitter_ab775900,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamy_twitter_ab775900.jpg,400,400,1.0,23.97,430.22,False,e8453a332d99176e,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.388356,-1,14,False
adeanom_twitter_4a9ea9ca,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adeanom_twitter_4a9ea9ca.jpg,400,400,1.0,16.18,2478.46,False,cc336c3c32cc33ce,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.416626,-1,15,False
adesyahlubis_twitter_48ee8726,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adesyahlubis_twitter_48ee8726.jpg,335,335,1.0,11.84,174.19,False,f1e44eb31e9a0798,1,0.9,0.273,False,False,,0,{},done,2026-01-12T01:16:21.452018,-1,16,False
adic_twitter_32d8689c,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adic_twitter_32d8689c.jpg,400,400,1.0,19.59,127.82,False,9a6369b76493868b,1,0.92,0.422,False,False,,0,{},done,2026-01-12T01:16:21.500163,-1,17,False
adilch_twitter_f4417316,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adilch_twitter_f4417316.jpg,400,400,1.0,45.26,2517.25,False,d67ccb072b0ac999,1,0.95,0.083,False,False,,0,{},done,2026-01-12T01:16:21.543928,-1,18,False
adnansyed_twitter_7a684921,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adnansyed_twitter_7a684921.jpg,267,267,1.0,17.67,955.75,False,f25d0b254cb7498e,1,0.0,0.993,False,False,,0,{},done,2026-01-12T01:16:21.567835,-1,19,False
adrianalemus_twitter_7806cbbf,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianalemus_twitter_7806cbbf.jpg,400,400,1.0,15.4,73.69,True,cdc3363c3933d1c8,1,0.95,0.476,False,False,,0,{},done,2026-01-12T01:16:21.614024,-1,20,False
adrianatoriz_twitter_28da5437,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianatoriz_twitter_28da5437.jpg,400,400,1.0,26.53,303.76,False,d17364cc7ea05339,1,0.94,0.172,False,False,,0,{},done,2026-01-12T01:16:21.652875,-1,21,False
adrianmanea_twitter_1b5f3781,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianmanea_twitter_1b5f3781.jpg,400,400,1.0,46.69,2785.76,False,eb5ea7cc9021c9a3,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.691975,-1,22,False
adrianver_twitter_6e8363ea,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianver_twitter_6e8363ea.jpg,400,400,1.0,31.2,968.06,False,b3b3bbdc01c188d3,1,0.92,0.166,False,False,,0,{},done,2026-01-12T01:16:21.729840,-1,23,False
adrienehughes_twitter_f062b830,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrienehughes_twitter_f062b830.jpg,400,400,1.0,20.29,110.02,False,ef2b34bc20f054ab,1,0.9,0.4,False,False,,0,{},done,2026-01-12T01:16:21.776093,-1,24,False
adtyysf_twitter_cdccf90f,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adtyysf_twitter_cdccf90f.jpg,400,400,1.0,27.29,1012.96,False,fa2467d68e9b8a60,1,0.92,0.357,False,False,,0,{},done,2026-01-12T01:16:21.820876,-1,25,False
adventuresinc_twitter_d5d0ca36,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adventuresinc_twitter_d5d0ca36.jpg,400,400,1.0,23.21,3585.99,False,fa69a5a087859ace,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.850557,-1,26,False
aedaddy_twitter_ddaae308,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aedaddy_twitter_ddaae308.jpg,400,400,1.0,32.89,3941.33,False,d28329bd1e782dc6,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.881118,-1,27,False
af8ab_twitter_90df09e3,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\af8ab_twitter_90df09e3.jpg,400,400,1.0,31.14,1135.26,False,a8a26f8973a8b3b4,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.918575,-1,28,False
aferrandini_twitter_16b1d108,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aferrandini_twitter_16b1d108.jpg,400,400,1.0,39.2,1841.56,False,d892656d9cb0cf32,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.956338,-1,29,False
agawebdesign_twitter_41a9ba91,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\agawebdesign_twitter_41a9ba91.jpg,375,375,1.0,14.53,146.73,False,98d94c4cbca4a6af,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:21.985590,-1,30,False
age_twitter_3fdbf86c,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\age_twitter_3fdbf86c.jpg,400,400,1.0,27.52,364.85,False,9a646774a48bdbd0,1,0.93,0.449,False,False,,0,{},done,2026-01-12T01:16:22.042298,-1,31,False
agustinamate_twitter_5397d21b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\agustinamate_twitter_5397d21b.jpg,400,400,1.0,22.01,556.07,False,eab5e017ce8686d2,1,0.0,0.995,False,False,,0,{},done,2026-01-12T01:16:22.073677,-1,32,False
