item_id,image_path,profile_id,platform,width,height,aspect_ratio,file_size_kb,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate,num_faces,face_confidence,face_area_ratio,face_cluster_id,top_label,top_label_score,label_scores,has_clip_embedding,has_face_embedding,caption_en,status,created_at
aajain_twitter_0edeb0c9,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aajain_twitter_0edeb0c9.jpg,aajain,twitter,400,400,1.0,33.32,501.57,False,e8fd207097676117,0,False,1,0.93,0.198,-1,,0,{},False,False,smiling woman in black dress sitting in front of a man in a chair,done,2026-01-12T01:16:20.829476
aaronbavs_twitter_3b9f5946,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aaronbavs_twitter_3b9f5946.jpg,aaronbavs,twitter,400,400,1.0,26.27,369.41,False,a6074aab53ba4e56,1,False,1,0.0,0.995,-1,,0,{},False,False,there is a man that is standing next to a statue of bugs,done,2026-01-12T01:16:20.894428
abahgat_twitter_f1bec87b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abahgat_twitter_f1bec87b.jpg,abahgat,twitter,400,400,1.0,33.08,551.94,False,c5466a1ba1de3d38,2,False,1,0.93,0.98,-1,,0,{},False,False,there is a man with a beard and glasses smiling for the camera,done,2026-01-12T01:16:20.969205
abdisk_twitter_4ee88404,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abdisk_twitter_4ee88404.jpg,abdisk,twitter,400,400,1.0,21.11,743.28,False,abe512acd41ab9d1,3,False,1,0.89,0.183,-1,,0,{},False,False,there is a man in a suit and tie posing for a picture,done,2026-01-12T01:16:21.023902
abdullawissam_twitter_d17b7cc4,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abdullawissam_twitter_d17b7cc4.jpg,abdullawissam,twitter,400,400,1.0,19.53,850.99,False,bac1164bcd96cb4c,4,False,1,0.9,0.09,-1,,0,{},False,False,there is a black and white photo of a man posing for a picture,done,2026-01-12T01:16:21.057023
abo1bs_twitter_7968cc9f,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abo1bs_twitter_7968cc9f.jpg,abo1bs,twitter,400,400,1.0,13.43,740.62,False,de9674a9d29580ad,5,False,1,0.0,0.995,-1,,0,{},False,False,a pink and white logo with the letter d on it,done,2026-01-12T01:16:21.081443
acanadianfoodie_twitter_543d0d94,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\acanadianfoodie_twitter_543d0d94.jpg,acanadianfoodie,twitter,400,400,1.0,20.02,245.16,False,efe050b613d8915b,6,False,1,0.93,0.265,-1,,0,{},False,False,smiling woman in black turtle neck sweater with red lipstick,done,2026-01-12T01:16:21.119849
acarrillo_twitter_b473fdbb,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\acarrillo_twitter_b473fdbb.jpg,acarrillo,twitter,400,400,1.0,24.01,617.19,False,efd08bb5862574c2,7,False,1,0.0,0.995,-1,,0,{},False,False,there is a man that is standing in the grass with his mouth open,done,2026-01-12T01:16:21.155696
ackleysuicide_twitter_eded2b7b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ackleysuicide_twitter_eded2b7b.jpg,ackleysuicide,twitter,400,400,1.0,32.25,1075.12,False,c6b2394dc433d4bc,8,False,1,0.0,0.995,-1,,0,{},False,False,there is a close up of a woman wearing a purple top,done,2026-01-12T01:16:21.190631
actifirmskincare_twitter_5511e1bb,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\actifirmskincare_twitter_5511e1bb.jpg,actifirmskincare,twitter,400,400,1.0,11.79,2431.28,False,c1c33e3cc6c3993c,9,False,1,0.0,0.995,-1,,0,{},False,False,actifim skin care logo on black background,done,2026-01-12T01:16:21.219755
adambonham_twitter_8d6a11cf,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adambonham_twitter_8d6a11cf.jpg,adambonham,twitter,400,400,1.0,30.13,397.62,False,b0b105cbe26743e7,10,False,1,0.0,0.995,-1,,0,{},False,False,there is a man sitting at a table with a plate of food,done,2026-01-12T01:16:21.250975
adamcarlson_twitter_79550e24,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamcarlson_twitter_79550e24.jpg,adamcarlson,twitter,400,400,1.0,21.78,1442.97,False,ec4b96b1d384c13e,11,False,1,0.0,0.995,-1,,0,{},False,False,there is an image of a cartoon character that is flying in the air,done,2026-01-12T01:16:21.280716
adamchristianson_twitter_474807a7,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamchristianson_twitter_474807a7.jpg,adamchristianson,twitter,400,400,1.0,29.9,4762.39,False,b42533d1339a93ce,12,False,1,0.0,0.995,-1,,0,{},False,False,a cartoon of a man with glasses and a blue shirt,done,2026-01-12T01:16:21.314872
adamthede_twitter_267c4d28,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamthede_twitter_267c4d28.jpg,adamthede,twitter,400,400,1.0,29.3,5531.25,False,aeb9d04613af4cf0,13,False,1,0.0,0.995,-1,,0,{},False,False,a drawing of a tractor on a white background,done,2026-01-12T01:16:21.356242
