item_id,has_clip_embedding,has_face_embedding,clip_embedding_path,face_embedding_path
aajain_twitter_0edeb0c9,False,False,,
aaronbavs_twitter_3b9f5946,False,False,,
abahgat_twitter_f1bec87b,False,False,,
abdisk_twitter_4ee88404,False,False,,
abdullawissam_twitter_d17b7cc4,False,False,,
abo1bs_twitter_7968cc9f,False,False,,
acanadianfoodie_twitter_543d0d94,False,False,,
acarrillo_twitter_b473fdbb,False,False,,
ackleysuicide_twitter_eded2b7b,False,False,,
actifirmskincare_twitter_5511e1bb,False,False,,
adambonham_twitter_8d6a11cf,False,False,,
adamcarlson_twitter_79550e24,False,False,,
adamchristianson_twitter_474807a7,False,False,,
adamthede_twitter_267c4d28,False,False,,
adamy_twitter_ab775900,False,False,,
adeanom_twitter_4a9ea9ca,False,False,,
adesyahlubis_twitter_48ee8726,False,False,,
adic_twitter_32d8689c,False,False,,
adilch_twitter_f4417316,False,False,,
adnansyed_twitter_7a684921,False,False,,
adrianalemus_twitter_7806cbbf,False,False,,
adrianatoriz_twitter_28da5437,False,False,,
adrianmanea_twitter_1b5f3781,False,False,,
adrianver_twitter_6e8363ea,False,False,,
adrienehughes_twitter_f062b830,False,False,,
adtyysf_twitter_cdccf90f,False,False,,
adventuresinc_twitter_d5d0ca36,False,False,,
aedaddy_twitter_ddaae308,False,False,,
af8ab_twitter_90df09e3,False,False,,
aferrandini_twitter_16b1d108,False,False,,
agawebdesign_twitter_41a9ba91,False,False,,
age_twitter_3fdbf86c,False,False,,
agustinamate_twitter_5397d21b,False,False,,
ahaportugal_twitter_3242ff12,False,False,,
ahh_twitter_67190685,False,False,,
ahmedhakim_twitter_198cd89d,False,False,,
aholub_twitter_a994bb00,False,False,,
ahoward_twitter_2401ec44,False,False,,
ahu_twitter_e0a9def8,False,False,,
aidandoyle_twitter_3e5c9966,False,False,,
aimeelane_twitter_bc247fb2,False,False,,
ajarn_twitter_089f6006,False,False,,
ajeyapaul_twitter_bf56335f,False,False,,
ajma_twitter_f09d2f7b,False,False,,
akronohiohomes_twitter_ef8ad1b4,False,False,,
al3_twitter_6adafb37,False,False,,
alainstephan_twitter_3e0bccc4,False,False,,
alancalvert_twitter_babb6e64,False,False,,
alandrew_twitter_c3502748,False,False,,
alannamiq_twitter_ddb3937d,False,False,,
alanndc_twitter_ff742cf0,False,False,,
alay_twitter_490e79e0,False,False,,
alberthathazi_twitter_45ec1397,False,False,,
albertocsaldamando_twitter_11820196,False,False,,
albertodowning_twitter_10688504,False,False,,
albertomarini_twitter_faeb8d67,False,False,,
albirabbit_twitter_ccfdc6c5,False,False,,
aldrintabay_twitter_7eaa4032,False,False,,
alefeldman_twitter_44ff9e5e,False,False,,
alejandroandher_twitter_dab32725,False,False,,
aleksanderdye_twitter_86be0d9d,False,False,,
alessandrasassi_twitter_1b1d18ec,False,False,,
alessandraturati_twitter_f8fb93f0,False,False,,
alessandrodilella_twitter_4ed353b7,False,False,,
aletrentin_twitter_0f46b893,False,False,,
alexanderposselt_twitter_77882ced,False,False,,
alexandrakozlova_twitter_5b31e644,False,False,,
alexandrunistor_twitter_1614d2ee,False,False,,
alexcowan_twitter_621acdd5,False,False,,
alexiakalfaian_twitter_d0ca43a9,False,False,,
alexreekie_twitter_c6889f8c,False,False,,
alexsablan_twitter_051ef681,False,False,,
alexstoica_twitter_bbc49f14,False,False,,
alexwisner_twitter_9afea3f7,False,False,,
alhasani_twitter_a96aba82,False,False,,
alice7vong_twitter_fd339204,False,False,,
alisamhughley_twitter_5c9f92b4,False,False,,
alisejohnson_twitter_0fe5ec95,False,False,,
alisonlehr_twitter_d49071c3,False,False,,
alixia88_twitter_11a800ac,False,False,,
alleliaspili_twitter_28cfc566,False,False,,
allenward_twitter_5ccee06d,False,False,,
alliebeau_twitter_2804d35f,False,False,,
allurazama_twitter_73d7185e,False,False,,
almowhed_twitter_c45a2e68,False,False,,
alneil_twitter_ba9cc75c,False,False,,
alopezxiv_twitter_0c6a1ab6,False,False,,
alqassimnakheel_twitter_9306e3f2,False,False,,
alsadekeen_twitter_2e160f1e,False,False,,
alvaroangulo_twitter_5f5bdab1,False,False,,
alvarodequeiroz_twitter_1e24ade1,False,False,,
alvaropascual84_twitter_704f65d7,False,False,,
alvarovalladares_twitter_ad13c2d6,False,False,,
alvinkclee_twitter_7f53fb5b,False,False,,
alyssawelch_twitter_6301db92,False,False,,
