item_id,num_faces,face_confidence,face_area_ratio,face_cluster_id
aajain_twitter_0edeb0c9,1,0.93,0.198,-1
aaronbavs_twitter_3b9f5946,1,0.0,0.995,-1
abahgat_twitter_f1bec87b,1,0.93,0.98,-1
abdisk_twitter_4ee88404,1,0.89,0.183,-1
abdullawissam_twitter_d17b7cc4,1,0.9,0.09,-1
abo1bs_twitter_7968cc9f,1,0.0,0.995,-1
acanadianfoodie_twitter_543d0d94,1,0.93,0.265,-1
acarrillo_twitter_b473fdbb,1,0.0,0.995,-1
ackleysuicide_twitter_eded2b7b,1,0.0,0.995,-1
actifirmskincare_twitter_5511e1bb,1,0.0,0.995,-1
adambonham_twitter_8d6a11cf,1,0.0,0.995,-1
adamcarlson_twitter_79550e24,1,0.0,0.995,-1
adamchristianson_twitter_474807a7,1,0.0,0.995,-1
adamthede_twitter_267c4d28,1,0.0,0.995,-1
adamy_twitter_ab775900,1,0.0,0.995,-1
adeanom_twitter_4a9ea9ca,1,0.0,0.995,-1
adesyahlubis_twitter_48ee8726,1,0.9,0.273,-1
adic_twitter_32d8689c,1,0.92,0.422,-1
adilch_twitter_f4417316,1,0.95,0.083,-1
adnansyed_twitter_7a684921,1,0.0,0.993,-1
adrianalemus_twitter_7806cbbf,1,0.95,0.476,-1
adrianatoriz_twitter_28da5437,1,0.94,0.172,-1
adrianmanea_twitter_1b5f3781,1,0.0,0.995,-1
adrianver_twitter_6e8363ea,1,0.92,0.166,-1
adrienehughes_twitter_f062b830,1,0.9,0.4,-1
adtyysf_twitter_cdccf90f,1,0.92,0.357,-1
adventuresinc_twitter_d5d0ca36,1,0.0,0.995,-1
aedaddy_twitter_ddaae308,1,0.0,0.995,-1
af8ab_twitter_90df09e3,1,0.0,0.995,-1
aferrandini_twitter_16b1d108,1,0.0,0.995,-1
agawebdesign_twitter_41a9ba91,1,0.0,0.995,-1
age_twitter_3fdbf86c,1,0.93,0.449,-1
agustinamate_twitter_5397d21b,1,0.0,0.995,-1
ahaportugal_twitter_3242ff12,1,0.95,0.258,-1
ahh_twitter_67190685,1,0.95,0.086,-1
ahmedhakim_twitter_198cd89d,1,0.0,0.995,-1
aholub_twitter_a994bb00,1,0.0,0.995,-1
ahoward_twitter_2401ec44,1,0.0,0.995,-1
ahu_twitter_e0a9def8,1,0.0,0.995,-1
aidandoyle_twitter_3e5c9966,1,0.92,0.032,-1
aimeelane_twitter_bc247fb2,1,0.92,0.156,-1
ajarn_twitter_089f6006,1,0.97,0.053,-1
ajeyapaul_twitter_bf56335f,1,0.0,0.995,-1
ajma_twitter_f09d2f7b,1,0.93,0.228,-1
akronohiohomes_twitter_ef8ad1b4,1,0.92,0.203,-1
al3_twitter_6adafb37,1,0.0,0.995,-1
alainstephan_twitter_3e0bccc4,1,0.0,0.995,-1
alancalvert_twitter_babb6e64,1,0.97,0.115,-1
alandrew_twitter_c3502748,1,0.0,0.995,-1
alannamiq_twitter_ddb3937d,1,0.0,0.995,-1
alanndc_twitter_ff742cf0,1,0.0,0.995,-1
alay_twitter_490e79e0,1,0.0,0.995,-1
alberthathazi_twitter_45ec1397,1,0.93,0.48,-1
albertocsaldamando_twitter_11820196,1,0.0,0.995,-1
albertodowning_twitter_10688504,1,0.93,0.526,-1
albertomarini_twitter_faeb8d67,1,0.0,0.995,-1
albirabbit_twitter_ccfdc6c5,1,0.0,0.995,-1
aldrintabay_twitter_7eaa4032,1,0.0,0.995,-1
alefeldman_twitter_44ff9e5e,1,0.0,0.995,-1
alejandroandher_twitter_dab32725,1,0.93,0.128,-1
aleksanderdye_twitter_86be0d9d,1,0.95,0.174,-1
alessandrasassi_twitter_1b1d18ec,1,0.0,0.995,-1
alessandraturati_twitter_f8fb93f0,1,0.97,0.382,-1
alessandrodilella_twitter_4ed353b7,1,0.9,0.397,-1
aletrentin_twitter_0f46b893,1,0.95,0.139,-1
alexanderposselt_twitter_77882ced,1,1.01,0.024,-1
alexandrakozlova_twitter_5b31e644,1,0.0,0.995,-1
alexandrunistor_twitter_1614d2ee,1,0.94,0.462,-1
alexcowan_twitter_621acdd5,1,0.0,0.995,-1
alexiakalfaian_twitter_d0ca43a9,1,0.93,0.487,-1
alexreekie_twitter_c6889f8c,1,0.97,0.477,-1
alexsablan_twitter_051ef681,1,0.94,0.612,-1
alexstoica_twitter_bbc49f14,1,0.89,0.012,-1
alexwisner_twitter_9afea3f7,1,0.0,0.995,-1
alhasani_twitter_a96aba82,1,0.0,0.995,-1
alice7vong_twitter_fd339204,1,0.0,0.995,-1
alisamhughley_twitter_5c9f92b4,1,0.94,0.238,-1
alisejohnson_twitter_0fe5ec95,1,0.95,0.363,-1
alisonlehr_twitter_d49071c3,1,0.88,0.179,-1
alixia88_twitter_11a800ac,1,0.9,0.039,-1
alleliaspili_twitter_28cfc566,1,0.93,0.174,-1
allenward_twitter_5ccee06d,1,0.92,0.077,-1
alliebeau_twitter_2804d35f,1,0.92,0.101,-1
allurazama_twitter_73d7185e,1,0.0,0.995,-1
almowhed_twitter_c45a2e68,1,0.96,0.334,-1
alneil_twitter_ba9cc75c,1,0.0,0.995,-1
alopezxiv_twitter_0c6a1ab6,1,0.0,0.995,-1
alqassimnakheel_twitter_9306e3f2,1,0.0,0.995,-1
alsadekeen_twitter_2e160f1e,1,0.95,0.235,-1
alvaroangulo_twitter_5f5bdab1,1,0.94,0.255,-1
alvarodequeiroz_twitter_1e24ade1,1,0.93,0.297,-1
alvaropascual84_twitter_704f65d7,1,0.91,0.191,-1
alvarovalladares_twitter_ad13c2d6,1,0.95,0.495,-1
alvinkclee_twitter_7f53fb5b,1,0.0,0.995,-1
alyssawelch_twitter_6301db92,1,0.95,0.426,-1
amaliorodriguez_twitter_a86e801a,1,0.0,0.994,-1
amandablain_twitter_7ee6d79c,1,0.93,0.203,-1
amandaloy_twitter_fad7c2e7,1,0.0,0.995,-1
amandamcunningham_twitter_ba83152d,1,0.96,0.263,-1
amandavo_twitter_ec7b1e46,1,0.95,0.019,-1
amateurx_twitter_19b7c0ee,1,0.0,0.995,-1
ambassadorbruny_twitter_4fb128d7,1,0.98,0.124,-1
amberdavis_twitter_e64d2db4,1,0.96,0.486,-1
amberhewitt_twitter_bd83478e,1,0.0,0.995,-1
amerzdralovic_twitter_5b6d9083,1,0.92,0.016,-1
amirabet_twitter_21c8f27b,1,0.0,0.995,-1
amrinlong_twitter_5927d443,1,0.0,0.995,-1
amyhadiastuti_twitter_a988038c,1,0.96,0.056,-1
amyripplinger_twitter_34ea0c5b,1,0.0,0.995,-1
amyrogers_twitter_5fb8cab2,1,0.92,0.501,-1
amyturman_twitter_b6f8a71d,1,0.0,0.995,-1
anamagal_twitter_83a2d531,1,0.97,0.019,-1
anaparejayepes_twitter_e7233c23,1,0.0,0.995,-1
anass_twitter_443f2560,1,0.92,0.342,-1
anastasioskikidis_twitter_994028cd,1,0.96,0.429,-1
anbi_twitter_4dc92c81,1,0.0,0.992,-1
andira47_twitter_3b957b31,1,0.0,0.995,-1
andolicious_twitter_2cb3ee08,1,0.0,0.994,-1
andreaarden_twitter_62ad21f3,2,0.945,0.127,-1
andreacastelli_twitter_8b1fae71,1,0.94,0.327,-1
andreameneghini_twitter_d28c0c3d,1,0.0,0.995,-1
andrearusky_twitter_2cba2bd8,1,0.92,0.143,-1
andreashumala_twitter_8ef69dcc,1,0.0,0.995,-1
andrescm_twitter_c67ee422,1,0.0,0.995,-1
andrewjamesmorgan_twitter_bd6122d7,1,0.91,0.397,-1
andrewnawoichik_twitter_e49c9e27,1,0.0,0.995,-1
andrewweiser_twitter_6470d79c,1,0.97,0.518,-1
andrewwilkins_twitter_4c1f905a,1,0.92,0.868,-1
andrewyee_twitter_a7bdc128,1,0.92,0.015,-1
andriatriv_twitter_7f378cf5,1,0.92,0.058,-1
andyciordia_twitter_3617a74b,1,0.92,0.384,-1
andywhyte_twitter_d6cdf502,1,0.92,0.137,-1
anesanmiguel_twitter_0a5dc9b0,1,0.0,0.995,-1
angelaball_twitter_2343e6f0,1,0.92,0.284,-1
angelfrancia_twitter_8342048e,1,0.0,0.995,-1
angelikalattner_twitter_513bb274,1,0.91,0.286,-1
angelinamontanez_twitter_2611476e,1,0.96,0.426,-1
anibaldelatorre_twitter_76c8fc64,1,0.0,0.995,-1
anibalgoransky_twitter_0560b223,1,0.0,0.995,-1
anitakilkenny_twitter_bbd94623,1,0.94,0.139,-1
annamioni_twitter_23ea065e,1,0.0,0.995,-1
annapfeiffer_twitter_651a1b12,1,0.95,0.212,-1
annelaurejoliot_twitter_c46fc629,1,0.91,0.126,-1
anoli_twitter_26ee2dff,1,0.0,0.995,-1
anthonymaw_twitter_55d7788d,1,0.95,0.995,-1
anthonystevven_twitter_a6515aab,1,0.91,0.065,-1
anthonyvelazquez_twitter_0fcec8cc,1,0.0,0.995,-1
antoninremond_twitter_c677a862,1,0.91,0.555,-1
antoniodomingo_twitter_f5145330,1,0.0,0.995,-1
antoniognassi_twitter_d8c8b3e8,1,0.9,0.096,-1
antoniojcuevas_twitter_fbf299f8,1,0.0,0.995,-1
