item_id,top_label,top_label_score,label_scores
aajain_twitter_0edeb0c9,,0,{}
aaronbavs_twitter_3b9f5946,,0,{}
abahgat_twitter_f1bec87b,,0,{}
abdisk_twitter_4ee88404,,0,{}
abdullawissam_twitter_d17b7cc4,,0,{}
abo1bs_twitter_7968cc9f,,0,{}
acanadianfoodie_twitter_543d0d94,,0,{}
acarrillo_twitter_b473fdbb,,0,{}
ackleysuicide_twitter_eded2b7b,,0,{}
actifirmskincare_twitter_5511e1bb,,0,{}
adambonham_twitter_8d6a11cf,,0,{}
adamcarlson_twitter_79550e24,,0,{}
adamchristianson_twitter_474807a7,,0,{}
adamthede_twitter_267c4d28,,0,{}
adamy_twitter_ab775900,,0,{}
adeanom_twitter_4a9ea9ca,,0,{}
adesyahlubis_twitter_48ee8726,,0,{}
adic_twitter_32d8689c,,0,{}
adilch_twitter_f4417316,,0,{}
adnansyed_twitter_7a684921,,0,{}
adrianalemus_twitter_7806cbbf,,0,{}
adrianatoriz_twitter_28da5437,,0,{}
adrianmanea_twitter_1b5f3781,,0,{}
adrianver_twitter_6e8363ea,,0,{}
adrienehughes_twitter_f062b830,,0,{}
adtyysf_twitter_cdccf90f,,0,{}
adventuresinc_twitter_d5d0ca36,,0,{}
aedaddy_twitter_ddaae308,,0,{}
af8ab_twitter_90df09e3,,0,{}
aferrandini_twitter_16b1d108,,0,{}
agawebdesign_twitter_41a9ba91,,0,{}
age_twitter_3fdbf86c,,0,{}
agustinamate_twitter_5397d21b,,0,{}
ahaportugal_twitter_3242ff12,,0,{}
ahh_twitter_67190685,,0,{}
ahmedhakim_twitter_198cd89d,,0,{}
aholub_twitter_a994bb00,,0,{}
ahoward_twitter_2401ec44,,0,{}
ahu_twitter_e0a9def8,,0,{}
aidandoyle_twitter_3e5c9966,,0,{}
aimeelane_twitter_bc247fb2,,0,{}
ajarn_twitter_089f6006,,0,{}
ajeyapaul_twitter_bf56335f,,0,{}
ajma_twitter_f09d2f7b,,0,{}
akronohiohomes_twitter_ef8ad1b4,,0,{}
al3_twitter_6adafb37,,0,{}
alainstephan_twitter_3e0bccc4,,0,{}
alancalvert_twitter_babb6e64,,0,{}
alandrew_twitter_c3502748,,0,{}
alannamiq_twitter_ddb3937d,,0,{}
alanndc_twitter_ff742cf0,,0,{}
alay_twitter_490e79e0,,0,{}
alberthathazi_twitter_45ec1397,,0,{}
albertocsaldamando_twitter_11820196,,0,{}
albertodowning_twitter_10688504,,0,{}
albertomarini_twitter_faeb8d67,,0,{}
albirabbit_twitter_ccfdc6c5,,0,{}
aldrintabay_twitter_7eaa4032,,0,{}
alefeldman_twitter_44ff9e5e,,0,{}
alejandroandher_twitter_dab32725,,0,{}
aleksanderdye_twitter_86be0d9d,,0,{}
alessandrasassi_twitter_1b1d18ec,,0,{}
alessandraturati_twitter_f8fb93f0,,0,{}
alessandrodilella_twitter_4ed353b7,,0,{}
aletrentin_twitter_0f46b893,,0,{}
alexanderposselt_twitter_77882ced,,0,{}
alexandrakozlova_twitter_5b31e644,,0,{}
alexandrunistor_twitter_1614d2ee,,0,{}
alexcowan_twitter_621acdd5,,0,{}
alexiakalfaian_twitter_d0ca43a9,,0,{}
alexreekie_twitter_c6889f8c,,0,{}
alexsablan_twitter_051ef681,,0,{}
alexstoica_twitter_bbc49f14,,0,{}
alexwisner_twitter_9afea3f7,,0,{}
alhasani_twitter_a96aba82,,0,{}
alice7vong_twitter_fd339204,,0,{}
alisamhughley_twitter_5c9f92b4,,0,{}
alisejohnson_twitter_0fe5ec95,,0,{}
alisonlehr_twitter_d49071c3,,0,{}
alixia88_twitter_11a800ac,,0,{}
alleliaspili_twitter_28cfc566,,0,{}
allenward_twitter_5ccee06d,,0,{}
alliebeau_twitter_2804d35f,,0,{}
allurazama_twitter_73d7185e,,0,{}
almowhed_twitter_c45a2e68,,0,{}
alneil_twitter_ba9cc75c,,0,{}
alopezxiv_twitter_0c6a1ab6,,0,{}
alqassimnakheel_twitter_9306e3f2,,0,{}
alsadekeen_twitter_2e160f1e,,0,{}
alvaroangulo_twitter_5f5bdab1,,0,{}
alvarodequeiroz_twitter_1e24ade1,,0,{}
alvaropascual84_twitter_704f65d7,,0,{}
alvarovalladares_twitter_ad13c2d6,,0,{}
alvinkclee_twitter_7f53fb5b,,0,{}
alyssawelch_twitter_6301db92,,0,{}
amaliorodriguez_twitter_a86e801a,,0,{}
amandablain_twitter_7ee6d79c,,0,{}
amandaloy_twitter_fad7c2e7,,0,{}
amandamcunningham_twitter_ba83152d,,0,{}
amandavo_twitter_ec7b1e46,,0,{}
amateurx_twitter_19b7c0ee,,0,{}
ambassadorbruny_twitter_4fb128d7,,0,{}
amberdavis_twitter_e64d2db4,,0,{}
amberhewitt_twitter_bd83478e,,0,{}
amerzdralovic_twitter_5b6d9083,,0,{}
amirabet_twitter_21c8f27b,,0,{}
amrinlong_twitter_5927d443,,0,{}
amyhadiastuti_twitter_a988038c,,0,{}
amyripplinger_twitter_34ea0c5b,,0,{}
amyrogers_twitter_5fb8cab2,,0,{}
amyturman_twitter_b6f8a71d,,0,{}
anamagal_twitter_83a2d531,,0,{}
anaparejayepes_twitter_e7233c23,,0,{}
anass_twitter_443f2560,,0,{}
anastasioskikidis_twitter_994028cd,,0,{}
anbi_twitter_4dc92c81,,0,{}
andira47_twitter_3b957b31,,0,{}
andolicious_twitter_2cb3ee08,,0,{}
andreaarden_twitter_62ad21f3,,0,{}
andreacastelli_twitter_8b1fae71,,0,{}
andreameneghini_twitter_d28c0c3d,,0,{}
andrearusky_twitter_2cba2bd8,,0,{}
andreashumala_twitter_8ef69dcc,,0,{}
andrescm_twitter_c67ee422,,0,{}
andrewjamesmorgan_twitter_bd6122d7,,0,{}
andrewnawoichik_twitter_e49c9e27,,0,{}
andrewweiser_twitter_6470d79c,,0,{}
andrewwilkins_twitter_4c1f905a,,0,{}
andrewyee_twitter_a7bdc128,,0,{}
andriatriv_twitter_7f378cf5,,0,{}
andyciordia_twitter_3617a74b,,0,{}
andywhyte_twitter_d6cdf502,,0,{}
anesanmiguel_twitter_0a5dc9b0,,0,{}
angelaball_twitter_2343e6f0,,0,{}
angelfrancia_twitter_8342048e,,0,{}
angelikalattner_twitter_513bb274,,0,{}
angelinamontanez_twitter_2611476e,,0,{}
anibaldelatorre_twitter_76c8fc64,,0,{}
anibalgoransky_twitter_0560b223,,0,{}
anitakilkenny_twitter_bbd94623,,0,{}
annamioni_twitter_23ea065e,,0,{}
annapfeiffer_twitter_651a1b12,,0,{}
annelaurejoliot_twitter_c46fc629,,0,{}
anoli_twitter_26ee2dff,,0,{}
anthonymaw_twitter_55d7788d,,0,{}
anthonystevven_twitter_a6515aab,,0,{}
anthonyvelazquez_twitter_0fcec8cc,,0,{}
antoninremond_twitter_c677a862,,0,{}
antoniodomingo_twitter_f5145330,,0,{}
antoniognassi_twitter_d8c8b3e8,,0,{}
antoniojcuevas_twitter_fbf299f8,,0,{}
antoniorodilla_twitter_4cca6b13,,0,{}
apedroza_twitter_315599f4,,0,{}
apetersen_twitter_166fc65e,,0,{}
apolorestaurante_twitter_7d136512,,0,{}
appleheadink_twitter_30b73000,,0,{}
aquatellus_twitter_b8bb9b18,,0,{}
aquilafare_twitter_19d7ef97,,0,{}
arahmahs_twitter_73151902,,0,{}
arcreyes_twitter_5e94c3f7,,0,{}
ariantifebi_twitter_658c510a,,0,{}
ariefbudisantoso_twitter_4fbfff42,,0,{}
ariefsatria_twitter_29378310,,0,{}
arlindopereira_twitter_8b57fc89,,0,{}
arnauoman_twitter_70d2510e,,0,{}
arnedevos_twitter_9a27b590,,0,{}
arqjlsm_twitter_bd7f351d,,0,{}
artesvisuales_twitter_3fe7bf3d,,0,{}
arthas_twitter_c3624ba6,,0,{}
artiedavis_twitter_248b89d2,,0,{}
arturogarrido_twitter_54cfa648,,0,{}
artwarriors_twitter_903b14a3,,0,{}
asamur_twitter_d931c2d9,,0,{}
asandre_twitter_7437f9e3,,0,{}
asbjornu_twitter_92180c6c,,0,{}
aschauerte_twitter_15bdf750,,0,{}
aseroff_twitter_e4e8e18a,,0,{}
asesino_twitter_7d420c17,,0,{}
ashisheth_twitter_fae33871,,0,{}
ashokkamal_twitter_fb798db2,,0,{}
ashreginaldevasco_twitter_c86140a5,,0,{}
asiace_twitter_470cebeb,,0,{}
asiergapa_twitter_618d65cd,,0,{}
assimtulba_twitter_416b16e1,,0,{}
astav_twitter_cac509bf,,0,{}
atahualpa_twitter_692b9bf5,,0,{}
atsoukalidis_twitter_8033150b,,0,{}
attila_twitter_b3280f04,,0,{}
audiohard_twitter_e20ce305,,0,{}
auliazahra_twitter_f0ad7f2d,,0,{}
austinhk_twitter_eac554d9,,0,{}
austrazubkovs_twitter_8c3c0dff,,0,{}
authenticseacoast_twitter_72552d39,,0,{}
avaarka_twitter_74d22c1e,,0,{}
avalon1982_twitter_6ca5decb,,0,{}
avatartravel_twitter_4056a625,,0,{}
avdrockr_twitter_a1eef6ad,,0,{}
avinashconda_twitter_d8ee2933,,0,{}
awkingkhan_twitter_ecb3d6a2,,0,{}
axknightroad_twitter_bf7b9815,,0,{}
axmai_twitter_6d0a036d,,0,{}
aymanrahouhi_twitter_58865cea,,0,{}
azzamalasfoor_twitter_82d36a19,,0,{}
bagusanugrah_twitter_6460cb1b,,0,{}
balexandre_twitter_ee35d228,,0,{}
balkurdi_twitter_a6a30be7,,0,{}
bandadanieis_twitter_9782f73a,,0,{}
banikaaron_twitter_1494f86e,,0,{}
bans_twitter_a3a192fc,,0,{}
barbaraparolini_twitter_e9f73914,,0,{}
barhatov_twitter_9cff258a,,0,{}
barneyallen_twitter_b15aa93c,,0,{}
barrett_twitter_2e240d4f,,0,{}
basarpatir_twitter_eafe4259,,0,{}
basemsal7_twitter_c63c4120,,0,{}
bassplayer83_twitter_08918665,,0,{}
bboylaba_twitter_2c769dc6,,0,{}
bdbrooker_twitter_ea880264,,0,{}
beapaxson_twitter_3831f31b,,0,{}
bearenok_twitter_62f57b55,,0,{}
beaumont_twitter_04555692,,0,{}
beauraines_twitter_f6b213d0,,0,{}
beautyluxury_twitter_4c712fa7,,0,{}
beerluver_twitter_3f6f2404,,0,{}
beichstaedt_twitter_6fd741b9,,0,{}
benfinch_twitter_f04e8c14,,0,{}
benitoroig_twitter_74872ce6,,0,{}
benjacobsen_twitter_2135f63a,,0,{}
benjamincole_twitter_5a3f07c7,,0,{}
benjaminyeurch_twitter_7b7d9301,,0,{}
benjsellers_twitter_fdf197b0,,0,{}
benkalsky_twitter_788d88b1,,0,{}
benlinders_twitter_28603ec5,,0,{}
benlizzotte_twitter_6dadff48,,0,{}
benlyh_twitter_3a594911,,0,{}
benoitdeclercq_twitter_ecdd46a2,,0,{}
bensonhendrix_twitter_6b42562f,,0,{}
berillium04_twitter_190c88d3,,0,{}
bertboerland_twitter_286b548b,,0,{}
bertdickerson_twitter_a9898ae9,,0,{}
bestnatesmithever_twitter_1d7d5960,,0,{}
betooliveira_twitter_d55ef943,,0,{}
betsyweber_twitter_d3dff905,,0,{}
bexlondontown_twitter_8636b455,,0,{}
beyoubrazil_twitter_ad1f0e62,,0,{}
bggarden_twitter_326f09eb,,0,{}
bidabooking_twitter_aa7567a0,,0,{}
billelsey_twitter_5814f951,,0,{}
billiambabble_twitter_8609b003,,0,{}
billlee_twitter_4ee8ac5b,,0,{}
billlublin_twitter_a70b31fc,,0,{}
billrousseau_twitter_f4b2878c,,0,{}
bioanarchism_twitter_206372ec,,0,{}
biverson_twitter_9a2b8909,,0,{}
blackxxxxxx_twitter_bfea4806,,0,{}
blairmosberg_twitter_e923d80e,,0,{}
bluebrain_twitter_f9c3f5f9,,0,{}
blueturtlefl_twitter_cb89dfc4,,0,{}
bobbibooker_twitter_5f0eae8b,,0,{}
bobbytravis_twitter_e46762b4,,0,{}
boffism_twitter_04350d57,,0,{}
bogohack_twitter_3a586a51,,0,{}
bolomik_twitter_7979e5a2,,0,{}
bookkeepergirl_twitter_eb8758c5,,0,{}
boostventilator_twitter_6259827c,,0,{}
booyabobby_twitter_c663c010,,0,{}
born2addiction_twitter_c70b245c,,0,{}
bornmannevan_twitter_2bbf660c,,0,{}
bpuga_twitter_cfe3902d,,0,{}
bradharvey_twitter_e5dafa7b,,0,{}
bradkoehn_twitter_2373c737,,0,{}
bradrussell_twitter_4337d051,,0,{}
bradwolff_twitter_d1a8ce9c,,0,{}
brandie_twitter_9ae27e65,,0,{}
brankko_twitter_ba0ef529,,0,{}
brefe_twitter_5ce60967,,0,{}
brendanberg_twitter_b0b8fe11,,0,{}
brendanoconnell_twitter_d3bdf78a,,0,{}
brettginsberg_twitter_3fd47014,,0,{}
brianayers_twitter_301efb45,,0,{}
briancsmith_twitter_fd243f2b,,0,{}
brianfarnham_twitter_b20a5ae1,,0,{}
brianfit_twitter_78e690a9,,0,{}
