item_id,width,height,aspect_ratio,file_size_kb
aajain_twitter_0edeb0c9,400,400,1.0,33.32
aaronbavs_twitter_3b9f5946,400,400,1.0,26.27
abahgat_twitter_f1bec87b,400,400,1.0,33.08
abdisk_twitter_4ee88404,400,400,1.0,21.11
abdullawissam_twitter_d17b7cc4,400,400,1.0,19.53
abo1bs_twitter_7968cc9f,400,400,1.0,13.43
acanadianfoodie_twitter_543d0d94,400,400,1.0,20.02
acarrillo_twitter_b473fdbb,400,400,1.0,24.01
ackleysuicide_twitter_eded2b7b,400,400,1.0,32.25
actifirmskincare_twitter_5511e1bb,400,400,1.0,11.79
adambonham_twitter_8d6a11cf,400,400,1.0,30.13
adamcarlson_twitter_79550e24,400,400,1.0,21.78
adamchristianson_twitter_474807a7,400,400,1.0,29.9
adamthede_twitter_267c4d28,400,400,1.0,29.3
adamy_twitter_ab775900,400,400,1.0,23.97
adeanom_twitter_4a9ea9ca,400,400,1.0,16.18
adesyahlubis_twitter_48ee8726,335,335,1.0,11.84
adic_twitter_32d8689c,400,400,1.0,19.59
adilch_twitter_f4417316,400,400,1.0,45.26
adnansyed_twitter_7a684921,267,267,1.0,17.67
adrianalemus_twitter_7806cbbf,400,400,1.0,15.4
adrianatoriz_twitter_28da5437,400,400,1.0,26.53
adrianmanea_twitter_1b5f3781,400,400,1.0,46.69
adrianver_twitter_6e8363ea,400,400,1.0,31.2
adrienehughes_twitter_f062b830,400,400,1.0,20.29
adtyysf_twitter_cdccf90f,400,400,1.0,27.29
adventuresinc_twitter_d5d0ca36,400,400,1.0,23.21
aedaddy_twitter_ddaae308,400,400,1.0,32.89
af8ab_twitter_90df09e3,400,400,1.0,31.14
aferrandini_twitter_16b1d108,400,400,1.0,39.2
agawebdesign_twitter_41a9ba91,375,375,1.0,14.53
age_twitter_3fdbf86c,400,400,1.0,27.52
agustinamate_twitter_5397d21b,400,400,1.0,22.01
ahaportugal_twitter_3242ff12,400,400,1.0,24.81
ahh_twitter_67190685,400,400,1.0,33.3
ahmedhakim_twitter_198cd89d,400,400,1.0,23.47
aholub_twitter_a994bb00,400,400,1.0,25.5
ahoward_twitter_2401ec44,400,400,1.0,26.44
ahu_twitter_e0a9def8,400,400,1.0,7.92
aidandoyle_twitter_3e5c9966,400,400,1.0,27.16
aimeelane_twitter_bc247fb2,400,400,1.0,21.48
ajarn_twitter_089f6006,357,357,1.0,22.29
ajeyapaul_twitter_bf56335f,400,400,1.0,36.35
ajma_twitter_f09d2f7b,400,400,1.0,39.49
akronohiohomes_twitter_ef8ad1b4,400,400,1.0,24.61
al3_twitter_6adafb37,400,400,1.0,12.68
alainstephan_twitter_3e0bccc4,400,400,1.0,28.28
alancalvert_twitter_babb6e64,345,345,1.0,16.97
alandrew_twitter_c3502748,400,400,1.0,15.48
alannamiq_twitter_ddb3937d,400,400,1.0,26.3
alanndc_twitter_ff742cf0,400,400,1.0,18.03
alay_twitter_490e79e0,400,400,1.0,13.2
alberthathazi_twitter_45ec1397,400,400,1.0,24.96
albertocsaldamando_twitter_11820196,400,400,1.0,16.04
albertodowning_twitter_10688504,400,400,1.0,25.03
albertomarini_twitter_faeb8d67,400,400,1.0,14.46
albirabbit_twitter_ccfdc6c5,400,400,1.0,18.41
aldrintabay_twitter_7eaa4032,400,400,1.0,32.3
alefeldman_twitter_44ff9e5e,400,400,1.0,8.82
alejandroandher_twitter_dab32725,400,400,1.0,18.91
aleksanderdye_twitter_86be0d9d,400,400,1.0,31.75
alessandrasassi_twitter_1b1d18ec,400,400,1.0,22.14
alessandraturati_twitter_f8fb93f0,390,390,1.0,35.86
alessandrodilella_twitter_4ed353b7,400,400,1.0,20.67
aletrentin_twitter_0f46b893,400,400,1.0,22.78
alexanderposselt_twitter_77882ced,400,400,1.0,29.71
alexandrakozlova_twitter_5b31e644,400,400,1.0,18.47
alexandrunistor_twitter_1614d2ee,400,400,1.0,19.93
alexcowan_twitter_621acdd5,400,400,1.0,23.29
alexiakalfaian_twitter_d0ca43a9,400,400,1.0,29.07
alexreekie_twitter_c6889f8c,220,220,1.0,11.01
alexsablan_twitter_051ef681,400,400,1.0,29.84
alexstoica_twitter_bbc49f14,400,400,1.0,57.59
alexwisner_twitter_9afea3f7,400,400,1.0,47.55
alhasani_twitter_a96aba82,400,400,1.0,20.93
alice7vong_twitter_fd339204,400,400,1.0,21.9
alisamhughley_twitter_5c9f92b4,400,400,1.0,29.65
alisejohnson_twitter_0fe5ec95,400,400,1.0,22.54
alisonlehr_twitter_d49071c3,400,400,1.0,33.9
alixia88_twitter_11a800ac,400,400,1.0,22.7
alleliaspili_twitter_28cfc566,240,240,1.0,9.96
allenward_twitter_5ccee06d,400,400,1.0,33.84
alliebeau_twitter_2804d35f,400,400,1.0,27.27
allurazama_twitter_73d7185e,400,400,1.0,29.68
almowhed_twitter_c45a2e68,400,400,1.0,21.62
alneil_twitter_ba9cc75c,400,400,1.0,25.03
alopezxiv_twitter_0c6a1ab6,400,400,1.0,28.8
alqassimnakheel_twitter_9306e3f2,400,400,1.0,16.01
alsadekeen_twitter_2e160f1e,400,400,1.0,18.37
alvaroangulo_twitter_5f5bdab1,400,400,1.0,24.35
alvarodequeiroz_twitter_1e24ade1,400,400,1.0,36.29
alvaropascual84_twitter_704f65d7,400,400,1.0,24.52
alvarovalladares_twitter_ad13c2d6,162,162,1.0,6.7
alvinkclee_twitter_7f53fb5b,400,400,1.0,13.83
alyssawelch_twitter_6301db92,400,400,1.0,30.7
amaliorodriguez_twitter_a86e801a,336,336,1.0,27.55
amandablain_twitter_7ee6d79c,400,400,1.0,28.59
amandaloy_twitter_fad7c2e7,400,400,1.0,36.45
amandamcunningham_twitter_ba83152d,400,400,1.0,42.17
amandavo_twitter_ec7b1e46,400,400,1.0,31.28
amateurx_twitter_19b7c0ee,400,400,1.0,29.11
ambassadorbruny_twitter_4fb128d7,400,400,1.0,19.74
amberdavis_twitter_e64d2db4,319,319,1.0,18.32
amberhewitt_twitter_bd83478e,400,400,1.0,9.51
amerzdralovic_twitter_5b6d9083,400,400,1.0,42.62
amirabet_twitter_21c8f27b,400,400,1.0,13.36
amrinlong_twitter_5927d443,400,400,1.0,17.81
amyhadiastuti_twitter_a988038c,400,400,1.0,37.71
amyripplinger_twitter_34ea0c5b,400,400,1.0,11.1
amyrogers_twitter_5fb8cab2,400,400,1.0,31.1
amyturman_twitter_b6f8a71d,400,400,1.0,27.14
anamagal_twitter_83a2d531,400,400,1.0,27.22
anaparejayepes_twitter_e7233c23,400,400,1.0,33.45
anass_twitter_443f2560,400,400,1.0,23.92
anastasioskikidis_twitter_994028cd,400,400,1.0,24.87
anbi_twitter_4dc92c81,256,256,1.0,25.74
andira47_twitter_3b957b31,400,400,1.0,35.91
andolicious_twitter_2cb3ee08,334,334,1.0,25.33
andreaarden_twitter_62ad21f3,400,400,1.0,39.05
