item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
aajain_twitter_0edeb0c9,501.57,False,e8fd207097676117,0,False
aaronbavs_twitter_3b9f5946,369.41,False,a6074aab53ba4e56,1,False
abahgat_twitter_f1bec87b,551.94,False,c5466a1ba1de3d38,2,False
abdisk_twitter_4ee88404,743.28,False,abe512acd41ab9d1,3,False
abdullawissam_twitter_d17b7cc4,850.99,False,bac1164bcd96cb4c,4,False
abo1bs_twitter_7968cc9f,740.62,False,de9674a9d29580ad,5,False
acanadianfoodie_twitter_543d0d94,245.16,False,efe050b613d8915b,6,False
acarrillo_twitter_b473fdbb,617.19,False,efd08bb5862574c2,7,False
ackleysuicide_twitter_eded2b7b,1075.12,False,c6b2394dc433d4bc,8,False
actifirmskincare_twitter_5511e1bb,2431.28,False,c1c33e3cc6c3993c,9,False
adambonham_twitter_8d6a11cf,397.62,False,b0b105cbe26743e7,10,False
adamcarlson_twitter_79550e24,1442.97,False,ec4b96b1d384c13e,11,False
adamchristianson_twitter_474807a7,4762.39,False,b42533d1339a93ce,12,False
adamthede_twitter_267c4d28,5531.25,False,aeb9d04613af4cf0,13,False
adamy_twitter_ab775900,430.22,False,e8453a332d99176e,14,False
adeanom_twitter_4a9ea9ca,2478.46,False,cc336c3c32cc33ce,15,False
adesyahlubis_twitter_48ee8726,174.19,False,f1e44eb31e9a0798,16,False
adic_twitter_32d8689c,127.82,False,9a6369b76493868b,17,False
adilch_twitter_f4417316,2517.25,False,d67ccb072b0ac999,18,False
adnansyed_twitter_7a684921,955.75,False,f25d0b254cb7498e,19,False
adrianalemus_twitter_7806cbbf,73.69,True,cdc3363c3933d1c8,20,False
adrianatoriz_twitter_28da5437,303.76,False,d17364cc7ea05339,21,False
adrianmanea_twitter_1b5f3781,2785.76,False,eb5ea7cc9021c9a3,22,False
adrianver_twitter_6e8363ea,968.06,False,b3b3bbdc01c188d3,23,False
adrienehughes_twitter_f062b830,110.02,False,ef2b34bc20f054ab,24,False
adtyysf_twitter_cdccf90f,1012.96,False,fa2467d68e9b8a60,25,False
adventuresinc_twitter_d5d0ca36,3585.99,False,fa69a5a087859ace,26,False
aedaddy_twitter_ddaae308,3941.33,False,d28329bd1e782dc6,27,False
af8ab_twitter_90df09e3,1135.26,False,a8a26f8973a8b3b4,28,False
aferrandini_twitter_16b1d108,1841.56,False,d892656d9cb0cf32,29,False
agawebdesign_twitter_41a9ba91,146.73,False,98d94c4cbca4a6af,30,False
age_twitter_3fdbf86c,364.85,False,9a646774a48bdbd0,31,False
agustinamate_twitter_5397d21b,556.07,False,eab5e017ce8686d2,32,False
ahaportugal_twitter_3242ff12,274.02,False,89d163248e87deda,33,False
ahh_twitter_67190685,983.66,False,fabb910fc8a48b26,34,False
ahmedhakim_twitter_198cd89d,743.73,False,f3af09c49e696612,35,False
aholub_twitter_a994bb00,416.04,False,cf2c16792bf0190f,36,False
ahoward_twitter_2401ec44,2366.15,False,b2956c64c39d4c97,37,False
ahu_twitter_e0a9def8,29.78,True,c99bdb64964d5249,38,False
aidandoyle_twitter_3e5c9966,1200.95,False,9a3865d41eb17365,39,False
aimeelane_twitter_bc247fb2,543.3,False,b839c3c3379472c3,40,False
ajarn_twitter_089f6006,539.06,False,b04c194ed5d9dd4c,41,False
ajeyapaul_twitter_bf56335f,3473.07,False,949545d7332adaf0,42,False
ajma_twitter_f09d2f7b,1777.87,False,c4f07a2e630b3ce9,43,False
akronohiohomes_twitter_ef8ad1b4,908.44,False,cc67187a71917e8c,44,False
al3_twitter_6adafb37,427.28,False,dd19a2a659191f1e,45,False
alainstephan_twitter_3e0bccc4,703.28,False,b5e916c7865ea21a,46,False
alancalvert_twitter_babb6e64,216.09,False,bcf543e0ca8fd209,47,False
alandrew_twitter_c3502748,172.64,False,d95b5694b5a9a921,48,False
alannamiq_twitter_ddb3937d,450.25,False,fa78a56125a59687,49,False
alanndc_twitter_ff742cf0,230.38,False,938d6c738e9c4c33,50,False
alay_twitter_490e79e0,153.41,False,e3b5109ac9c5e5e1,51,False
alberthathazi_twitter_45ec1397,243.73,False,83f478a11bb11fc3,52,False
albertocsaldamando_twitter_11820196,614.48,False,9d396bc6b4e6422c,53,False
albertodowning_twitter_10688504,2092.08,False,ea4a79a12625e17b,54,False
albertomarini_twitter_faeb8d67,77.98,True,ca9a3225e5b5b3a4,55,False
albirabbit_twitter_ccfdc6c5,128.41,False,dc082fe775b11a1a,56,False
aldrintabay_twitter_7eaa4032,826.38,False,d91669b110d76be4,57,False
alefeldman_twitter_44ff9e5e,378.84,False,b61c9993c3e6cc64,58,False
alejandroandher_twitter_dab32725,96.97,True,a8f2a79dda9c5818,59,False
aleksanderdye_twitter_86be0d9d,801.52,False,adbf4634f1703078,60,False
alessandrasassi_twitter_1b1d18ec,329.41,False,c46fb33838c69d58,61,False
alessandraturati_twitter_f8fb93f0,734.17,False,9e4e25cd96d1c64c,62,False
alessandrodilella_twitter_4ed353b7,356.9,False,ce6d3834911ec9cb,63,False
aletrentin_twitter_0f46b893,755.32,False,dec361b6bc482993,64,False
alexanderposselt_twitter_77882ced,1179.42,False,f006da9e7861d2da,65,False
alexandrakozlova_twitter_5b31e644,244.89,False,b59a87c1c934acda,66,False
alexandrunistor_twitter_1614d2ee,118.11,False,cb073d36343ccf84,67,False
alexcowan_twitter_621acdd5,714.36,False,f30c8ac2d83d8f63,68,False
alexiakalfaian_twitter_d0ca43a9,351.08,False,db4b3c69f1b16230,69,False
alexreekie_twitter_c6889f8c,127.19,False,8aa93b30363bc17d,70,False
alexsablan_twitter_051ef681,918.31,False,f78b920e8698cce9,71,False
alexstoica_twitter_bbc49f14,3958.64,False,a28893b31dc1f3a7,72,False
alexwisner_twitter_9afea3f7,2910.64,False,cbb4b413d39929a5,73,False
alhasani_twitter_a96aba82,638.43,False,c42af9813f39843f,74,False
alice7vong_twitter_fd339204,198.25,False,e1e4139eb819da65,75,False
alisamhughley_twitter_5c9f92b4,1002.83,False,eab0c1b1179b94da,76,False
alisejohnson_twitter_0fe5ec95,300.68,False,acb7f0905172a9c7,77,False
alisonlehr_twitter_d49071c3,701.91,False,d4fbf1d2c9068a07,78,False
alixia88_twitter_11a800ac,401.53,False,f287dc64326ae389,79,False
alleliaspili_twitter_28cfc566,48.8,True,e8b53297931bc20f,80,False
allenward_twitter_5ccee06d,1644.6,False,a778fa87c933c0c1,81,False
alliebeau_twitter_2804d35f,400.72,False,c6ee5164502dabb5,82,False
allurazama_twitter_73d7185e,1629.94,False,f8506bb4a3b51879,83,False
almowhed_twitter_c45a2e68,280.98,False,e79d588c314c9b74,84,False
alneil_twitter_ba9cc75c,139.28,False,c7191e26266a7abc,85,False
alopezxiv_twitter_0c6a1ab6,414.66,False,a9d466e7497aa0b2,86,False
alqassimnakheel_twitter_9306e3f2,504.09,False,f85685a15b59e926,87,False
alsadekeen_twitter_2e160f1e,344.27,False,c9b36e69a61e18e1,88,False
alvaroangulo_twitter_5f5bdab1,854.55,False,e36b8d36923293c9,89,False
alvarodequeiroz_twitter_1e24ade1,901.12,False,acf49947b4d16135,90,False
alvaropascual84_twitter_704f65d7,194.79,False,9b552e6947ac3d42,91,False
alvarovalladares_twitter_ad13c2d6,147.67,False,c1dac98d042fd7b8,92,False
alvinkclee_twitter_7f53fb5b,468.02,False,95826a693f642e97,93,False
alyssawelch_twitter_6301db92,275.93,False,f3f0078395c70c6b,94,False
amaliorodriguez_twitter_a86e801a,1950.21,False,cecc783833672317,95,False
amandablain_twitter_7ee6d79c,774.3,False,bd9062219667da6b,96,False
amandaloy_twitter_fad7c2e7,979.47,False,8f10b6cf93e856a1,97,False
amandamcunningham_twitter_ba83152d,1530.37,False,af7010f4533658de,98,False
amandavo_twitter_ec7b1e46,510.42,False,9c5909627176c6f5,99,False
amateurx_twitter_19b7c0ee,555.31,False,e9a034c78bd3c729,100,False
ambassadorbruny_twitter_4fb128d7,510.97,False,e6b01a4fa1971e78,101,False
