item_id,image_path,profile_id,platform,created_at
aajain_twitter_0edeb0c9,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aajain_twitter_0edeb0c9.jpg,aajain,twitter,2026-01-12T01:16:20.829476
aaronbavs_twitter_3b9f5946,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aaronbavs_twitter_3b9f5946.jpg,aaronbavs,twitter,2026-01-12T01:16:20.894428
abahgat_twitter_f1bec87b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abahgat_twitter_f1bec87b.jpg,abahgat,twitter,2026-01-12T01:16:20.969205
abdisk_twitter_4ee88404,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abdisk_twitter_4ee88404.jpg,abdisk,twitter,2026-01-12T01:16:21.023902
abdullawissam_twitter_d17b7cc4,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abdullawissam_twitter_d17b7cc4.jpg,abdullawissam,twitter,2026-01-12T01:16:21.057023
abo1bs_twitter_7968cc9f,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\abo1bs_twitter_7968cc9f.jpg,abo1bs,twitter,2026-01-12T01:16:21.081443
acanadianfoodie_twitter_543d0d94,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\acanadianfoodie_twitter_543d0d94.jpg,acanadianfoodie,twitter,2026-01-12T01:16:21.119849
acarrillo_twitter_b473fdbb,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\acarrillo_twitter_b473fdbb.jpg,acarrillo,twitter,2026-01-12T01:16:21.155696
ackleysuicide_twitter_eded2b7b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ackleysuicide_twitter_eded2b7b.jpg,ackleysuicide,twitter,2026-01-12T01:16:21.190631
actifirmskincare_twitter_5511e1bb,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\actifirmskincare_twitter_5511e1bb.jpg,actifirmskincare,twitter,2026-01-12T01:16:21.219755
adambonham_twitter_8d6a11cf,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adambonham_twitter_8d6a11cf.jpg,adambonham,twitter,2026-01-12T01:16:21.250975
adamcarlson_twitter_79550e24,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamcarlson_twitter_79550e24.jpg,adamcarlson,twitter,2026-01-12T01:16:21.280716
adamchristianson_twitter_474807a7,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamchristianson_twitter_474807a7.jpg,adamchristianson,twitter,2026-01-12T01:16:21.314872
adamthede_twitter_267c4d28,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamthede_twitter_267c4d28.jpg,adamthede,twitter,2026-01-12T01:16:21.356242
adamy_twitter_ab775900,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adamy_twitter_ab775900.jpg,adamy,twitter,2026-01-12T01:16:21.388356
adeanom_twitter_4a9ea9ca,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adeanom_twitter_4a9ea9ca.jpg,adeanom,twitter,2026-01-12T01:16:21.416626
adesyahlubis_twitter_48ee8726,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adesyahlubis_twitter_48ee8726.jpg,adesyahlubis,twitter,2026-01-12T01:16:21.452018
adic_twitter_32d8689c,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adic_twitter_32d8689c.jpg,adic,twitter,2026-01-12T01:16:21.500163
adilch_twitter_f4417316,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adilch_twitter_f4417316.jpg,adilch,twitter,2026-01-12T01:16:21.543928
adnansyed_twitter_7a684921,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adnansyed_twitter_7a684921.jpg,adnansyed,twitter,2026-01-12T01:16:21.567835
adrianalemus_twitter_7806cbbf,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianalemus_twitter_7806cbbf.jpg,adrianalemus,twitter,2026-01-12T01:16:21.614024
adrianatoriz_twitter_28da5437,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianatoriz_twitter_28da5437.jpg,adrianatoriz,twitter,2026-01-12T01:16:21.652875
adrianmanea_twitter_1b5f3781,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianmanea_twitter_1b5f3781.jpg,adrianmanea,twitter,2026-01-12T01:16:21.691975
adrianver_twitter_6e8363ea,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrianver_twitter_6e8363ea.jpg,adrianver,twitter,2026-01-12T01:16:21.729840
adrienehughes_twitter_f062b830,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adrienehughes_twitter_f062b830.jpg,adrienehughes,twitter,2026-01-12T01:16:21.776093
adtyysf_twitter_cdccf90f,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adtyysf_twitter_cdccf90f.jpg,adtyysf,twitter,2026-01-12T01:16:21.820876
adventuresinc_twitter_d5d0ca36,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\adventuresinc_twitter_d5d0ca36.jpg,adventuresinc,twitter,2026-01-12T01:16:21.850557
aedaddy_twitter_ddaae308,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aedaddy_twitter_ddaae308.jpg,aedaddy,twitter,2026-01-12T01:16:21.881118
af8ab_twitter_90df09e3,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\af8ab_twitter_90df09e3.jpg,af8ab,twitter,2026-01-12T01:16:21.918575
aferrandini_twitter_16b1d108,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aferrandini_twitter_16b1d108.jpg,aferrandini,twitter,2026-01-12T01:16:21.956338
agawebdesign_twitter_41a9ba91,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\agawebdesign_twitter_41a9ba91.jpg,agawebdesign,twitter,2026-01-12T01:16:21.985590
age_twitter_3fdbf86c,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\age_twitter_3fdbf86c.jpg,age,twitter,2026-01-12T01:16:22.042298
agustinamate_twitter_5397d21b,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\agustinamate_twitter_5397d21b.jpg,agustinamate,twitter,2026-01-12T01:16:22.073677
ahaportugal_twitter_3242ff12,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ahaportugal_twitter_3242ff12.jpg,ahaportugal,twitter,2026-01-12T01:16:22.115507
ahh_twitter_67190685,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ahh_twitter_67190685.jpg,ahh,twitter,2026-01-12T01:16:22.153346
ahmedhakim_twitter_198cd89d,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ahmedhakim_twitter_198cd89d.jpg,ahmedhakim,twitter,2026-01-12T01:16:22.180821
aholub_twitter_a994bb00,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aholub_twitter_a994bb00.jpg,aholub,twitter,2026-01-12T01:16:22.213060
ahoward_twitter_2401ec44,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ahoward_twitter_2401ec44.jpg,ahoward,twitter,2026-01-12T01:16:22.239665
ahu_twitter_e0a9def8,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\ahu_twitter_e0a9def8.jpg,ahu,twitter,2026-01-12T01:16:22.261502
aidandoyle_twitter_3e5c9966,d:\66070260-Year3_Term2\Project1\Code\Project-for-Work\data\images\aidandoyle_twitter_3e5c9966.jpg,aidandoyle,twitter,2026-01-12T01:16:22.296356
