canonical_id,name,alt_names,type,country_code,admin1,lat,lon,parent_id
CITY_BANGKOK_TH,bangkok,bkk|krung thep,city,TH,Bangkok,13.7563,100.5018,COUNTRY_TH
CITY_CHIANGMAI_TH,chiang mai,chiangmai,city,TH,Chiang Mai,18.7883,98.9853,COUNTRY_TH
CITY_NEWYORK_US,new york city,nyc|new york,city,US,New York,40.7128,-74.0060,COUNTRY_US
CITY_LOSANGELES_US,los angeles,la|l.a.,city,US,California,34.0522,-118.2437,COUNTRY_US
CITY_SANFRANCISCO_US,san francisco,sf|san fran,city,US,California,37.7749,-122.4194,COUNTRY_US
CITY_LONDON_GB,london,london uk,city,GB,England,51.5074,-0.1278,COUNTRY_GB
CITY_PARIS_FR,paris,,city,FR,Ile-de-France,48.8566,2.3522,COUNTRY_FR
COUNTRY_TH,thailand,thai|kingdom of thailand,country,TH,,15.8700,100.9925,
COUNTRY_US,united states,usa|us|united states of america,country,US,,37.0902,-95.7129,
COUNTRY_GB,united kingdom,uk|great britain|britain,country,GB,,55.3781,-3.4360,
