profile_id_a,profile_id_b,sim_score
instagram_akagc,twitter_akagc,1.0
instagram_kurtberengeiger,twitter_kurtberengeiger,1.0
instagram_lakombolab,twitter_lakombolab,1.0
instagram_suuperg,twitter_suuperg,1.0
instagram_laiatutzo,twitter_laiatutzo,1.0
instagram_ladewig,twitter_ladewig,1.0
instagram_alexdbk,twitter_alexdbk,1.0
instagram_marcham93,twitter_marcham93,1.0
instagram_christie_lazo,twitter_christie_lazo,1.0
instagram_alexcorradi,twitter_alexcorradi,1.0
instagram_lomokev,twitter_lomokev,1.0
instagram_gomayara,twitter_gomayara,1.0
instagram_augschburger,twitter_augschburger,1.0
instagram_gudel803,twitter_gudel803,1.0
instagram_gvirtucio,twitter_gvirtucio,1.0
instagram_nuovie,twitter_nuovie,1.0
instagram_konqrunner,twitter_konqrunner,1.0
instagram_yasyf,twitter_yasyf,1.0
instagram_chrispenny,twitter_chrispenny,1.0
instagram_almarvill,twitter_almarvill,1.0
instagram_chriscree,twitter_chriscree,1.0
instagram_millaresroo,twitter_millaresroo,1.0
instagram_chriswejr,twitter_chriswejr,1.0
instagram_christoferclaro,twitter_christoferclaro,1.0
instagram_chrisfullman,twitter_chrisfullman,1.0
instagram_davidmerinas,twitter_davidmerinas,1.0
instagram_leahmansfield,twitter_leahmansfield,1.0
instagram_chrisplough,twitter_chrisplough,1.0
instagram_alejandrovaras,twitter_alejandrovaras,1.0
instagram_christykramer,twitter_christykramer,1.0
googleplus_lollydurand,twitter_lollydurand,1.0
instagram_chrisldiaz,twitter_chrisldiaz,1.0
instagram_chrisastall,twitter_chrisastall,1.0
instagram_lolalolalin,twitter_lolalolalin,1.0
instagram_laya_malka,twitter_laya_malka,1.0
instagram_aleathwood,twitter_aleathwood,1.0
instagram_alelongoni,twitter_alelongoni,1.0
instagram_aled,twitter_aled,1.0
instagram_hebervega,twitter_hebervega,1.0
instagram_hedzzation,twitter_hedzzation,1.0
instagram_mingminhui,twitter_mingminhui,1.0
instagram_brunopino66,twitter_brunopino66,1.0
instagram_idaglitter,twitter_idaglitter,1.0
twitter_daviderota,instagram_daviderota,1.0
instagram_alexreekie,twitter_alexreekie,1.0
googleplus_bradwolff,instagram_bradwolff,1.0
instagram_alessashida,twitter_alessashida,1.0
twitter_davidbonet,instagram_davidbonet,1.0
googleplus_davidbonet,twitter_davidbonet,1.0
googleplus_davidbonet,instagram_davidbonet,1.0
twitter_davebos,instagram_davebos,1.0
instagram_zeechaudhry,twitter_zeechaudhry,1.0
instagram_ikermerodio,twitter_ikermerodio,1.0
instagram_keithpickett,twitter_keithpickett,1.0
instagram_bradydahl,twitter_bradydahl,1.0
instagram_ilariadefilippo,twitter_ilariadefilippo,1.0
instagram_brunnocamara,twitter_brunnocamara,1.0
instagram_mindeeaviva,twitter_mindeeaviva,1.0
instagram_kimisharp,twitter_kimisharp,1.0
instagram_kenmayes,twitter_kenmayes,1.0
instagram_cc_liecense,twitter_cc_liecense,1.0
instagram_aleksanderdye,twitter_aleksanderdye,1.0
instagram_yaseend,twitter_yaseend,1.0
instagram_zouyuefen,twitter_zouyuefen,1.0
instagram_aleqz,twitter_aleqz,1.0
instagram_hkiyany,twitter_hkiyany,1.0
instagram_boltron,twitter_boltron,1.0
googleplus_huzaifasial,twitter_huzaifasial,1.0
instagram_iabdulghani,twitter_iabdulghani,1.0
instagram_boostventilator,twitter_boostventilator,1.0
instagram_kentlundgren,twitter_kentlundgren,1.0
instagram_1to1coach,twitter_1to1coach,1.0
instagram_imsoper,twitter_imsoper,1.0
instagram_zigah111,twitter_zigah111,1.0
instagram_kennerknecht,twitter_kennerknecht,1.0
instagram_miltonkarlos,twitter_miltonkarlos,1.0
instagram_michelevng,twitter_michelevng,1.0
instagram_anomositymuzikk,twitter_anomositymuzikk,1.0
instagram_jmadlock,twitter_jmadlock,1.0
instagram_alessandromusic,twitter_alessandromusic,1.0
instagram_pullbackes,twitter_pullbackes,1.0
instagram_erykverhagen,twitter_erykverhagen,1.0
instagram_pratnala,twitter_pratnala,1.0
instagram_daveyjacobson,twitter_daveyjacobson,1.0
instagram_jmaguimaraes,twitter_jmaguimaraes,1.0
instagram_michaelmase,twitter_michaelmase,1.0
instagram_mikesingletary,twitter_mikesingletary,1.0
instagram_gsmitman,twitter_gsmitman,1.0
instagram_chrisparkin,twitter_chrisparkin,1.0
instagram_tikves,twitter_tikves,1.0
instagram_pandafoodie,twitter_pandafoodie,1.0
instagram_michelelash,twitter_michelelash,1.0
googleplus_christiangiollo,instagram_christiangiollo,1.0
instagram_pandorasinbox,twitter_pandorasinbox,1.0
instagram_davidgoodman,twitter_davidgoodman,1.0
instagram_davidemontanaro,twitter_davidemontanaro,1.0
instagram_stilo,twitter_stilo,1.0
instagram_davidxvx,twitter_davidxvx,1.0
instagram_stiofanoriain,twitter_stiofanoriain,1.0
instagram_elbisnet,twitter_elbisnet,1.0
instagram_sadiejemmett,twitter_sadiejemmett,1.0
instagram_rutgerblom,twitter_rutgerblom,1.0
instagram_emtype,twitter_emtype,1.0
instagram_enathu,twitter_enathu,1.0
instagram_eonsmiami,twitter_eonsmiami,1.0
instagram_rubeelnellikad,twitter_rubeelnellikad,1.0
instagram_ercanzengin,twitter_ercanzengin,1.0
googleplus_rubydynamite,twitter_rubydynamite,1.0
instagram_afnanaldimasi,twitter_afnanaldimasi,1.0
instagram_eisema,twitter_eisema,1.0
instagram_ciromarandola,twitter_ciromarandola,1.0
instagram_rezasetiawan,twitter_rezasetiawan,1.0
instagram_rezaprabowo,twitter_rezaprabowo,1.0
twitter_davidvkimball,instagram_davidvkimball,1.0
instagram_panzolomeo,twitter_panzolomeo,1.0
instagram_mikaelshort,twitter_mikaelshort,1.0
instagram_eufisica,twitter_eufisica,1.0
instagram_fposati,twitter_fposati,1.0
instagram_f0vela,twitter_f0vela,1.0
