profile_id_a,platform_a,userName_a,profile_id_b,platform_b,userName_b,matched_value,match_type
instagram_1to1coach,instagram,1to1coach,twitter_1to1coach,twitter,1to1coach,1to1coach.ch,exact_externalUrl_clean
googleplus_eliutavalos,googleplus,eliutavalos,twitter_1upfeed,twitter,1upfeed,1upfeed.com,exact_externalUrl_clean
instagram_kaylinmaephoto,instagram,kaylinmaephoto,twitter_kaylinmaephoto,twitter,kaylinmaephoto,2016.kaylinmaephoto.com,exact_externalUrl_clean
instagram_matiasjajaja,instagram,matiasjajaja,twitter_matiasjajaja,twitter,matiasjajaja,256colores.com,exact_externalUrl_clean
instagram_shawareb,instagram,shawareb,twitter_ahmedshawareb,twitter,ahmedshawareb,2duae.com,exact_externalUrl_clean
instagram_2for1shows,instagram,2for1shows,twitter_2for1shows,twitter,2for1shows,2for1shows.com,exact_externalUrl_clean
instagram_gege2ge,instagram,gege2ge,twitter_2ge,twitter,2ge,2ge.us,exact_externalUrl_clean
instagram_isaacsmith,instagram,isaacsmith,twitter_isaacsmith,twitter,isaacsmith,2i9.com.br,exact_externalUrl_clean
instagram_flux423,instagram,flux423,twitter_flux423,twitter,flux423,423interactive.com,exact_externalUrl_clean
instagram_kokilayaa,instagram,kokilayaa,twitter_kokilayaa,twitter,kokilayaa,500px.com/kokilayaa,exact_externalUrl_clean
instagram_moshersmoll,instagram,moshersmoll,twitter_littleacorns,twitter,littleacorns,500px.com/moshersmoll,exact_externalUrl_clean
instagram_tatianaavdjiev,instagram,tatianaavdjiev,twitter_tatianaavdjiev,twitter,tatianaavdjiev,500px.com/tatianaavdjiev,exact_externalUrl_clean
instagram_5key,instagram,5key,twitter_5key,twitter,5key,5key.net,exact_externalUrl_clean
instagram_patcrowley,instagram,patcrowley,twitter_patcrowley,twitter,patcrowley,5x5films.com,exact_externalUrl_clean
instagram_604homes,instagram,604homes,twitter_604homesguy,twitter,604homesguy,604homes.com,exact_externalUrl_clean
instagram_72dg,instagram,72dg,twitter_72dg,twitter,72dg,72dg.co.uk,exact_externalUrl_clean
instagram_7bc,instagram,7bc,twitter_7bc,twitter,7bc,7bc.fr,exact_externalUrl_clean
instagram_85fifteen,instagram,85fifteen,twitter_dandimmock,twitter,dandimmock,85fifteen.com,exact_externalUrl_clean
instagram_8880708,instagram,8880708,twitter_hiangg,twitter,hiangg,8880708.com,exact_externalUrl_clean
instagram_axiol,instagram,axiol,twitter_axiol,twitter,axiol,a.rnaud.be,exact_externalUrl_clean
instagram_aarongustafson,instagram,aarongustafson,twitter_aarongustafson,twitter,aarongustafson,aaron-gustafson.com,exact_externalUrl_clean
instagram_aaronburden,instagram,aaronburden,twitter_theaaronburden,twitter,theaaronburden,aaronburden.com,exact_externalUrl_clean
instagram_aaronjones,instagram,aaronjones,twitter_aaronjonesmagic,twitter,aaronjonesmagic,aaronjones.com,exact_externalUrl_clean
instagram_wahnish,instagram,wahnish,twitter_wahnish,twitter,wahnish,aarting.com,exact_externalUrl_clean
