source_id,source_platform,rank,target_id,target_platform,fused_cosine,clip_cosine,face_cosine,clip_l2,face_l2,is_same_person
aajain,twitter,1,nataliamartinez,twitter,0.562816,0.780475,0.345157,0.662609,1.144415,False
aajain,twitter,2,alexiakalfaian,twitter,0.556122,0.898205,0.21404,0.45121,1.253763,False
aajain,twitter,3,idaperri,twitter,0.55548,0.858788,0.252172,0.531437,1.22297,False
aajain,twitter,4,helka,twitter,0.55098,0.808708,0.293251,0.618534,1.188906,False
aajain,twitter,5,andriatriv,twitter,0.550451,0.794846,0.306055,0.640552,1.178088,False
aajain,twitter,6,patriciascholz,twitter,0.5474,0.831589,0.26321,0.580364,1.213911,False
aajain,twitter,7,ricardoanton,twitter,0.546908,0.828477,0.26534,0.585701,1.212155,False
aajain,twitter,8,smediabutterfly,twitter,0.544546,0.82306,0.266032,0.594879,1.211584,False
aajain,twitter,9,seraphim,twitter,0.535573,0.811682,0.259465,0.613707,1.216992,False
aajain,twitter,10,omerabdellatif,twitter,0.533677,0.8339,0.233455,0.576368,1.23818,False
aajain,twitter,11,lidahasbrouck,twitter,0.522727,0.851239,0.194215,0.545455,1.269476,False
aajain,twitter,12,dezydelima,twitter,0.518391,0.779265,0.257516,0.664432,1.218592,False
aajain,twitter,13,sanahsayani,twitter,0.517429,0.856997,0.177861,0.534795,1.282294,False
aajain,twitter,14,lizcarey13,twitter,0.515573,0.759473,0.271672,0.69358,1.20692,False
aajain,twitter,15,dkakaiya,twitter,0.514774,0.808924,0.220624,0.618184,1.2485,False
aajain,twitter,16,amandablain,twitter,0.514515,0.831245,0.197786,0.580957,1.26666,False
aajain,twitter,17,gailgabrielle,twitter,0.514317,0.742756,0.285878,0.717279,1.195092,False
aajain,twitter,18,luigibusti,twitter,0.512792,0.790556,0.235028,0.647216,1.236909,False
aajain,twitter,19,conorgilmer,twitter,0.512647,0.794048,0.231245,0.641797,1.239964,False
aajain,twitter,20,alyssawelch,twitter,0.51102,0.864837,0.157203,0.519929,1.298304,False
