profile_id_a,profile_id_b,entity_id_a,platform_a,platform_b,label
googleplus_fefejohnson,instagram_victorrubencp,fefemakeupartistry,googleplus,instagram,0
googleplus_joshfinnie,twitter_francovanvuuren,joshfinnie,googleplus,twitter,0
googleplus_ginaschreck,twitter_ginaschreck,ginaschreck,googleplus,twitter,1
googleplus_danielapoetyca,instagram_deepeshmd,poetyca,googleplus,instagram,0
googleplus_tonychau,instagram_tonydiehl,tonychau,googleplus,instagram,0
instagram_jonaskills,twitter_thomasseifert,jonaskills,instagram,twitter,0
twitter_meltz00,instagram_denarochelle,marcmeltzer,twitter,instagram,0
googleplus_sergeykovalyov,twitter_skovalyov,skovalyov,googleplus,twitter,1
twitter_picturetakerman,instagram_preppychic,picturetakerman,twitter,instagram,0
twitter_briteside913,instagram_bombaykiawaaz,bekahosborne,twitter,instagram,0
googleplus_brianmcdonaldnc,instagram_daviduruiz,bmcd,googleplus,instagram,0
googleplus_jenngrover,twitter_kmattoso,jenngrover,googleplus,twitter,0
twitter_ajlouie,instagram_zeppolis,ajlouie,twitter,instagram,0
googleplus_anneljostad_gbbg,instagram_sefaarslanphotos,anneljostad,googleplus,instagram,0
googleplus_kristinricheyplus,twitter_kosodesign,kristinrichey,googleplus,twitter,0
googleplus_randilklein,instagram_sonnenhexer,doodlehedz,googleplus,instagram,0
googleplus_michalblaek,twitter_mlucasx,blazekmichal,googleplus,twitter,0
twitter_claudersousa,instagram_getgln,claudersousa,twitter,instagram,0
instagram_shawnmor,twitter_ffffeng,shawnmor,instagram,twitter,0
instagram_geek7,twitter_geek7,markusortner,instagram,twitter,1
googleplus_zachemerson,instagram_zacherock,ZachERock,googleplus,instagram,1
googleplus_nathanmccavery,twitter_slacabos,nathanmccavery,googleplus,twitter,0
googleplus_gregmeyer,twitter_paoloriela,grmeyer,googleplus,twitter,0
instagram_micahalcorn,twitter_micahalcorn,micahalcorn,instagram,twitter,1
twitter_alioh,instagram_rendyfaqot,alioh,twitter,instagram,0
googleplus_durwinrandlesblog,instagram_photovidgallery,durwinrandle,googleplus,instagram,1
instagram_mamaru14,twitter_mamaru14,mamaru14,instagram,twitter,1
googleplus_omarwaleed,instagram_ianedgar,owpictures,googleplus,instagram,0
googleplus_kristinlisson,twitter_sweetpeaangelz,kristin,googleplus,twitter,0
googleplus_mikezuckerman,twitter_mustafatohma44,Zuckerman,googleplus,twitter,0
googleplus_masesino,instagram_jasonschulz,asesino,googleplus,instagram,0
instagram_gentlesam,twitter_genesedavis,samuelrollier,instagram,twitter,0
googleplus_curtisnatalie,twitter_kevindeshazo,curtisnatalie,googleplus,twitter,0
googleplus_marcelatavares,twitter_defyrecordings,capitu,googleplus,twitter,0
googleplus_jamesbarrett23,twitter_jimbarrett,JamesGBarrett,googleplus,twitter,1
