profile_id_a,platform_a,userName_a,profile_id_b,platform_b,userName_b,block_key,similarity_score,name_sim,fullname_sim,url_sim,location_sim
6648,instagram,aalampi,3,twitter,aalampi,name_prefix3:aal,0.94,1.1,1.0,1.0,0.0
14212,instagram,wwjimd,3,twitter,wwjimd,name_fullname_combo:ww_za,0.94,1.1,1.0,1.0,0.0
14196,instagram,wluera,3,twitter,wluera,name_fullname_combo:wl_wi,0.94,1.1,1.0,1.0,0.0
14180,instagram,scottwd9,3,twitter,scottwd9,name_fullname_combo:sc_wi,0.94,1.1,1.0,1.0,0.0
9345,instagram,guardic,3,twitter,guardic,name_prefix3:gua,0.94,1.1,1.0,1.0,0.0
6656,instagram,aarongustafson,3,twitter,aarongustafson,name_prefix3:aar,0.94,1.1,1.0,1.0,0.0
14157,instagram,nywebdesign,3,twitter,nywebdesign,name_fullname_combo:ny_da,0.94,1.1,1.0,1.0,0.0
3566,instagram,weinkaiser,3,twitter,weinkaiser,name_fullname_combo:we_ra,0.94,1.1,1.0,1.0,0.0
14131,instagram,webgrrrl,3,twitter,webgrrrl,name_fullname_combo:we_lo,0.94,1.1,1.0,1.0,0.0
14101,instagram,vtatultiwari,3,twitter,vtatultiwari,name_fullname_combo:vt_at,0.94,1.1,1.0,1.0,0.0
14089,instagram,vmshreddy,3,twitter,vmshreddy,name_fullname_combo:vm_va,0.94,1.1,1.0,1.0,0.0
14025,instagram,vfowler,3,twitter,vfowler,name_fullname_combo:vf_ve,0.94,1.1,1.0,1.0,0.0
14023,instagram,vervex,3,twitter,vervex,name_fullname_combo:ve_ti,0.94,1.1,1.0,1.0,0.0
14009,instagram,vbellais,3,twitter,vbellais,name_fullname_combo:vb_vi,0.94,1.1,1.0,1.0,0.0
13968,instagram,uvmann,3,twitter,uvmann,name_fullname_combo:uv_uw,0.94,1.1,1.0,1.0,0.0
6172,instagram,sabrinadeeberry,3,twitter,sabrinadeeberry,name_prefix4:sabr,0.94,1.1,1.0,1.0,0.0
