experiment,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
GB-18-GA,7,0,276.1,634.1,0.9808,0.6518,0.9894,0.354
GB-18-GA,7,1,276.1,634.1,0.9808,0.6518,0.9894,0.354
GB-18-GA,7,2,275.12,633.12,0.9808,0.6518,0.9597,0.3458
GB-18-GA,7,3,275.12,633.12,0.9808,0.6518,0.9597,0.3458
GB-18-GA,7,4,275.0,633.0,0.9808,0.6242,0.9541,0.3487
GB-18-GA,7,5,274.98,632.98,0.9742,0.6542,0.9541,0.3487
GB-18-GA,7,6,274.98,632.98,0.9742,0.6542,0.9541,0.3487
GB-18-GA,7,7,262.64,620.64,0.9846,0.5913,0.9541,0.3534
GB-18-GA,7,8,259.78,617.78,0.9748,0.5704,0.9541,0.2966
GB-18-GA,7,9,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,10,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,11,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,12,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,13,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,14,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,15,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,16,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,17,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,18,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,19,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,20,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,21,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,22,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,23,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,24,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,25,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,26,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,27,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,28,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,29,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,30,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,31,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,32,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,33,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,34,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,35,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,36,254.84,612.84,0.9742,0.5575,0.9567,0.3409
GB-18-GA,7,37,254.84,612.84,0.9742,0.5575,0.9567,0.3409
