experiment,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
GB-18-GA,7,0,55.98,413.98,0.9366,0.5015,0.915,0.0927
GB-18-GA,7,1,55.98,413.98,0.9366,0.5015,0.915,0.0927
GB-18-GA,42,0,21.38,379.38,0.9751,0.6418,0.9853,0.5359
GB-18-GA,42,1,21.38,379.38,0.9751,0.6418,0.9853,0.5359
GB-18-GA,123,0,75.82,433.82,0.9918,0.5928,0.8996,0.3109
GB-18-GA,123,1,21.24,379.24,0.9816,0.5855,0.9617,0.4084
GB-18-GA,999,0,127.0,485.0,0.9169,0.8608,0.5709,0.3667
GB-18-GA,999,1,127.0,485.0,0.9169,0.8608,0.5709,0.3667
GB-18-GA,2025,0,21.42,379.42,0.9165,0.5614,0.987,0.2543
GB-18-GA,2025,1,21.42,379.42,0.9165,0.5614,0.987,0.2543
