experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r1,A_current,7,0,8230.2,10655.18,0.9808,0.6518,0.9894,0.354
r1,A_current,7,1,8017.1,10442.1,0.9904,0.8208,0.9496,0.0873
r1,A_current,7,2,5814.92,8239.92,0.9808,0.9003,1.0,0.0598
r1,A_current,7,3,4139.08,6564.1,0.999,0.8361,0.9808,0.0492
r1,A_current,7,4,4064.14,6489.12,0.999,0.8662,0.9961,0.0873
r1,A_current,7,5,4007.66,6433.2,0.999,0.9003,0.9875,0.1006
r1,A_current,7,6,3380.98,5805.98,0.9971,0.9329,1.0,0.069
r1,A_current,7,7,2977.1,5402.1,0.9971,0.9428,1.0,0.069
r1,A_current,7,8,2976.58,5402.04,0.9971,0.9433,0.9875,0.0928
r1,A_current,7,9,2820.12,5245.12,0.999,0.9636,0.9926,0.0865
r1,A_current,7,10,2820.02,5245.04,0.9971,0.9639,1.0,0.0928
r1,A_current,7,11,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,12,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,13,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,14,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,15,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,16,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,17,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,18,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,19,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,20,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,21,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,22,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,23,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,24,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,25,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,26,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,27,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,28,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,29,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,30,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,31,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,32,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,33,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,34,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,35,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,36,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,37,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,38,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,7,39,2818.78,5244.24,0.9971,0.9639,0.9875,0.0928
r1,A_current,42,0,7706.62,10131.62,0.9957,0.7384,0.9665,0.4826
r1,A_current,42,1,7272.34,9697.34,0.9957,0.7384,0.9793,0.0894
r1,A_current,42,2,6505.54,8930.54,0.999,0.7384,0.9793,0.0894
r1,A_current,42,3,6419.74,8844.74,0.9979,0.7384,0.9918,0.0894
r1,A_current,42,4,6418.22,8843.22,0.999,0.7675,0.9986,0.4333
r1,A_current,42,5,5208.02,7633.02,0.999,0.7706,1.0,0.458
r1,A_current,42,6,5087.16,7512.16,0.999,0.8244,0.9986,0.4333
r1,A_current,42,7,5087.16,7512.16,0.999,0.8244,0.9986,0.4333
r1,A_current,42,8,4064.38,6489.38,0.999,0.8644,1.0,0.417
r1,A_current,42,9,4011.0,6436.0,0.999,0.8882,1.0,0.4395
r1,A_current,42,10,4009.54,6434.5,0.999,0.8968,1.0,0.4395
r1,A_current,42,11,4005.48,6430.48,0.999,0.9201,1.0,0.4475
r1,A_current,42,12,2976.7200000000003,5401.7,0.999,0.9495,1.0,0.449
r1,A_current,42,13,2845.8,5270.8,0.999,0.9771,1.0,0.449
r1,A_current,42,14,2820.36,5245.36,0.999,0.9621,1.0,0.449
r1,A_current,42,15,2820.36,5245.36,0.999,0.9621,1.0,0.449
r1,A_current,42,16,2820.36,5245.36,0.999,0.9621,1.0,0.449
