experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r1,A_current,7,0,236.51999999999998,594.52,0.9808,0.6518,0.9894,0.354
r1,A_current,7,1,236.51999999999998,594.52,0.9808,0.6518,0.9894,0.354
r1,A_current,7,2,229.66,587.66,0.9808,0.8261,1.0,0.0679
r1,A_current,7,3,193.26,551.26,0.9984,0.6518,0.9894,0.3791
r1,A_current,7,4,185.74,543.74,0.999,0.8261,0.9839,0.3676
r1,A_current,7,5,185.12,543.12,0.999,0.8261,0.9789,0.3593
r1,A_current,7,6,184.3,542.3,0.999,0.8261,0.9561,0.328
r1,A_current,7,7,184.3,542.3,0.999,0.8261,0.9561,0.328
r1,A_current,7,8,184.3,542.3,0.999,0.8261,0.9561,0.328
r1,A_current,7,9,184.3,542.3,0.999,0.8261,0.9561,0.328
r1,A_current,7,10,184.3,542.3,0.999,0.8261,0.9561,0.328
r1,A_current,7,11,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,12,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,13,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,14,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,15,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,16,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,17,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,18,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,19,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,20,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,21,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,22,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,23,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,24,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,25,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,26,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,27,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,28,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,29,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,30,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,31,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,32,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,33,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,34,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,35,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,36,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,37,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,38,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,7,39,184.28,542.28,0.999,0.8312,0.9561,0.3282
r1,A_current,42,0,200.84,558.84,0.9957,0.7384,0.9665,0.4826
r1,A_current,42,1,192.66,550.66,0.999,0.7057,0.9853,0.5359
r1,A_current,42,2,191.06,549.06,0.999,0.7384,0.959,0.4759
r1,A_current,42,3,191.04000000000002,549.04,0.999,0.7588,0.9585,0.4492
r1,A_current,42,4,184.38,542.38,0.999,0.7891,0.959,0.5583
r1,A_current,42,5,184.38,542.38,0.999,0.7891,0.959,0.5583
r1,A_current,42,6,184.36,542.36,0.999,0.7921,0.9585,0.583
r1,A_current,42,7,184.34,542.34,0.999,0.7921,0.9637,0.6249
r1,A_current,42,8,184.18,542.18,0.999,0.7908,0.9588,0.6184
r1,A_current,42,9,184.18,542.18,0.999,0.7908,0.9588,0.6184
r1,A_current,42,10,183.74,541.74,0.999,0.7858,0.9572,0.6411
r1,A_current,42,11,183.74,541.74,0.999,0.7858,0.9572,0.6411
r1,A_current,42,12,183.5,541.5,0.999,0.7908,0.9572,0.6464
r1,A_current,42,13,183.48000000000002,541.48,0.999,0.8184,0.9572,0.6464
r1,A_current,42,14,183.48000000000002,541.48,0.999,0.8184,0.9572,0.6464
r1,A_current,42,15,183.48000000000002,541.48,0.999,0.8184,0.9572,0.6464
r1,A_current,42,16,183.48000000000002,541.48,0.999,0.8184,0.9572,0.6464
r1,A_current,42,17,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,18,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,19,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,20,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,21,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,22,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,23,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,24,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,25,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,26,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,27,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,28,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,29,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,30,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,31,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,32,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,33,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,34,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,35,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,36,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,37,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,38,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,42,39,183.44,541.44,0.999,0.809,0.9561,0.6464
r1,A_current,123,0,235.10000000000002,593.1,0.9909,0.7502,0.9586,0.5188
r1,A_current,123,1,235.07999999999998,593.08,0.9816,0.7699,0.9586,0.5188
r1,A_current,123,2,191.06,549.06,0.999,0.7502,0.9586,0.4914
r1,A_current,123,3,184.72,542.72,0.999,0.7982,0.9676,0.1714
r1,A_current,123,4,184.4,542.4,0.999,0.7982,0.9586,0.4914
r1,A_current,123,5,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,6,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,7,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,8,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,9,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,10,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,11,184.38,542.38,0.999,0.8177,0.9586,0.1804
r1,A_current,123,12,184.36,542.36,0.999,0.7899,0.9572,0.4974
r1,A_current,123,13,184.34,542.34,0.999,0.8195,0.9572,0.4974
r1,A_current,123,14,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,15,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,16,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,17,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,18,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,19,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,20,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,21,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,22,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,23,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,24,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,25,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,26,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,27,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,28,184.3,542.3,0.9976,0.8177,0.9563,0.4974
r1,A_current,123,29,184.28,542.28,0.999,0.8315,0.9567,0.1735
r1,A_current,123,30,184.28,542.28,0.999,0.8315,0.9567,0.1735
r1,A_current,123,31,184.28,542.28,0.999,0.8315,0.9567,0.1735
r1,A_current,123,32,184.26,542.26,0.999,0.8315,0.9567,0.5395
r1,A_current,123,33,184.26,542.26,0.999,0.8315,0.9567,0.5395
r1,A_current,123,34,184.24,542.24,0.999,0.8315,0.9567,0.5776
r1,A_current,123,35,184.24,542.24,0.999,0.8315,0.9567,0.5776
r1,A_current,123,36,184.16,542.16,0.999,0.791,0.9567,0.6109
r1,A_current,123,37,184.14,542.14,0.999,0.8315,0.9567,0.6043
r1,A_current,123,38,184.12,542.12,0.999,0.8315,0.9567,0.6109
r1,A_current,123,39,183.98000000000002,541.98,0.999,0.8276,0.9563,0.6314
r1,A_current,999,0,336.62,694.62,0.9921,0.6036,0.9329,0.2631
r1,A_current,999,1,238.18,596.18,0.9801,0.6002,0.9735,0.548
r1,A_current,999,2,185.74,543.74,0.999,0.8264,0.9837,0.1541
r1,A_current,999,3,184.9,542.9,0.999,0.8233,0.9735,0.3598
r1,A_current,999,4,184.28,542.28,0.999,0.8264,0.957,0.548
r1,A_current,999,5,184.28,542.28,0.999,0.8264,0.957,0.548
r1,A_current,999,6,184.28,542.28,0.999,0.8264,0.957,0.548
r1,A_current,999,7,184.28,542.28,0.999,0.8264,0.957,0.548
r1,A_current,999,8,184.26,542.26,0.999,0.8264,0.957,0.5716
r1,A_current,999,9,184.2,542.2,0.999,0.8086,0.957,0.6008
r1,A_current,999,10,184.04000000000002,542.04,0.999,0.8086,0.957,0.6272
