experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r3,A_current,7,0,254.72,612.72,0.9337,0.6086,0.976,0.2667
r3,A_current,7,1,228.16,586.16,0.9808,0.52,0.9877,0.5861
r3,A_current,7,2,227.5,585.5,0.9337,0.5946,0.9692,0.2667
r3,A_current,7,3,209.5,567.5,0.9982,0.5,0.9958,0.3157
r3,A_current,7,4,208.74,566.74,0.999,0.52,0.9585,0.5913
r3,A_current,7,5,208.1,566.1,0.9965,0.5,0.9727,0.6317
r3,A_current,7,6,207.82,565.82,0.999,0.5,0.9585,0.5654
r3,A_current,7,7,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,8,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,9,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,10,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,11,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,12,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,13,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,14,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,15,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,16,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,17,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,18,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,19,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,20,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,21,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,22,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,23,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,24,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,25,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,26,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,27,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,28,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,29,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,30,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,31,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,32,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,33,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,34,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,35,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,36,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,37,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,38,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,7,39,207.68,565.68,0.999,0.5,0.9526,0.5654
r3,A_current,42,0,231.02,589.02,0.913,0.5495,0.9638,0.2385
r3,A_current,42,1,226.6,584.6,0.9435,0.5,0.9689,0.3352
r3,A_current,42,2,218.66,576.66,0.9848,0.5495,0.9732,0.5328
r3,A_current,42,3,218.56,576.56,0.9848,0.5109,0.9638,0.3352
r3,A_current,42,4,207.96,565.96,0.999,0.5,0.9638,0.3352
r3,A_current,42,5,207.74,565.74,0.999,0.5,0.9559,0.3341
r3,A_current,42,6,207.74,565.74,0.999,0.5,0.9559,0.3341
r3,A_current,42,7,207.7,565.7,0.9975,0.5,0.9543,0.3957
r3,A_current,42,8,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,9,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,10,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,11,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,12,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,13,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,14,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,15,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,16,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,17,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,18,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,19,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,20,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,21,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,22,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,23,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,24,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,25,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,26,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,27,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,28,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,29,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,30,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,31,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,32,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,33,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,34,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,35,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,36,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,37,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,38,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,42,39,207.68,565.68,0.999,0.5,0.9504,0.4007
r3,A_current,123,0,227.48,585.48,0.9461,0.5828,0.9614,0.5675
r3,A_current,123,1,208.8,566.8,0.9951,0.6039,0.9614,0.413
r3,A_current,123,2,208.7,566.7,0.999,0.5882,0.9573,0.5188
r3,A_current,123,3,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,4,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,5,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,6,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,7,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,8,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,9,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,10,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,11,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,12,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,13,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,14,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,15,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,16,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,17,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,18,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,19,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,20,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,21,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,22,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,23,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,24,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,25,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,26,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,27,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,28,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,29,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,30,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,31,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,32,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,33,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,34,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,35,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,36,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,37,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,38,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,123,39,208.6,566.6,0.996,0.5947,0.9518,0.5188
r3,A_current,999,0,228.26,586.26,0.9587,0.6013,0.9979,0.2175
r3,A_current,999,1,227.4,585.4,0.9711,0.6002,0.9529,0.548
r3,A_current,999,2,209.84,567.84,0.9959,0.6036,0.9837,0.2631
r3,A_current,999,3,209.84,567.84,0.9959,0.6036,0.9837,0.2631
r3,A_current,999,4,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,5,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,6,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,7,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,8,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,9,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,10,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,11,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,12,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,13,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,14,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,15,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,16,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,17,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,18,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,19,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,20,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,21,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,22,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,23,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,24,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,25,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,26,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,27,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,28,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,29,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,30,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,31,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,32,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,33,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,34,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,35,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,36,208.6,566.6,0.9959,0.6036,0.9529,0.2631
r3,A_current,999,37,208.6,566.6,0.9959,0.6036,0.9529,0.2631
