experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r3,A_current,7,0,258.56,616.56,0.9178,0.6384,0.9741,0.344
r3,A_current,7,1,219.5,577.5,0.9021,0.5015,0.9692,0.0927
r3,A_current,7,2,215.06,573.06,0.9178,0.5326,0.9692,0.0978
r3,A_current,7,3,201.48,559.48,0.999,0.5222,0.976,0.0908
r3,A_current,7,4,201.28,559.28,0.999,0.5015,0.9697,0.0971
r3,A_current,7,5,201.1,559.1,0.999,0.5,0.9596,0.282
r3,A_current,7,6,201.1,559.1,0.999,0.5,0.9596,0.282
r3,A_current,7,7,201.1,559.1,0.999,0.5,0.9596,0.282
r3,A_current,7,8,201.06,559.06,0.999,0.5326,0.9579,0.2855
r3,A_current,7,9,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,10,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,11,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,12,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,13,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,14,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,15,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,16,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,17,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,18,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,19,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,20,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,21,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,22,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,23,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,24,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,25,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,26,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,27,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,28,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,29,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,30,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,31,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,32,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,33,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,34,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,35,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,36,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,37,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,38,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,7,39,201.02,559.02,0.999,0.5222,0.9571,0.1217
r3,A_current,42,0,231.08,589.08,0.913,0.5495,0.9638,0.2385
r3,A_current,42,1,201.22,559.22,0.9957,0.5232,0.9665,0.4428
r3,A_current,42,2,201.22,559.22,0.9957,0.5232,0.9665,0.4428
r3,A_current,42,3,201.1,559.1,0.9957,0.5002,0.9585,0.5122
r3,A_current,42,4,201.1,559.1,0.9957,0.5002,0.9585,0.5122
r3,A_current,42,5,201.08,559.08,0.9957,0.5,0.9583,0.5122
r3,A_current,42,6,201.08,559.08,0.9957,0.5,0.9583,0.5122
r3,A_current,42,7,201.08,559.08,0.9957,0.5,0.9583,0.5122
r3,A_current,42,8,201.08,559.08,0.9957,0.5,0.9583,0.5122
r3,A_current,42,9,201.08,559.08,0.9957,0.5,0.9583,0.5122
r3,A_current,42,10,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,11,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,12,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,13,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,14,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,15,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,16,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,17,201.02,559.02,0.999,0.5245,0.957,0.5122
r3,A_current,42,18,201.02,559.02,0.999,0.5245,0.957,0.5122
