experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r3,custom,7,0,481.04,1197.04,0.9366,0.5015,0.915,0.0927
r3,custom,7,1,409.12,1125.12,0.9808,0.5015,0.9894,0.354
r3,custom,7,2,407.98,1123.98,0.9822,0.5222,0.9724,0.354
r3,custom,7,3,407.98,1123.98,0.9822,0.5222,0.9724,0.354
r3,custom,7,4,398.48,1114.48,0.999,0.5033,0.976,0.354
r3,custom,7,5,398.1,1114.1,0.999,0.5033,0.9591,0.3585
r3,custom,7,6,398.1,1114.1,0.999,0.5033,0.9591,0.3585
r3,custom,7,7,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,8,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,9,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,10,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,11,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,12,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,13,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,14,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,15,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,16,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,17,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,18,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,19,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,20,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,21,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,22,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,23,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,24,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,25,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,26,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,27,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,28,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,29,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,30,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,31,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,32,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,33,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,34,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,35,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,36,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,37,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,38,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,7,39,398.02,1114.02,0.999,0.5,0.957,0.1008
r3,custom,42,0,440.08,1156.08,0.913,0.5495,0.9638,0.2385
r3,custom,42,1,412.04,1128.04,0.9457,0.5255,0.9665,0.379
r3,custom,42,2,398.22,1114.22,0.999,0.5255,0.9665,0.2385
r3,custom,42,3,398.22,1114.22,0.999,0.5255,0.9665,0.2385
r3,custom,42,4,398.22,1114.22,0.999,0.5255,0.9665,0.2385
r3,custom,42,5,398.22,1114.22,0.999,0.5255,0.9665,0.2385
r3,custom,42,6,398.08,1114.08,0.999,0.5131,0.9582,0.2385
r3,custom,42,7,398.08,1114.08,0.999,0.5131,0.9582,0.2385
r3,custom,42,8,398.08,1114.08,0.999,0.5131,0.9582,0.2385
r3,custom,42,9,398.08,1114.08,0.999,0.5131,0.9582,0.2385
r3,custom,42,10,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,11,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,12,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,13,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,14,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,15,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,16,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,17,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,18,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,19,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,20,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,21,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,22,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,23,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,24,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,25,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,26,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,27,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,28,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,29,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,30,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,31,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,32,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,33,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,34,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,35,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,36,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,37,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,38,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,42,39,398.02,1114.02,0.999,0.5007,0.9569,0.2385
r3,custom,123,0,451.94,1167.94,0.9908,0.5322,0.9274,0.0868
r3,custom,123,1,451.94,1167.94,0.9908,0.5322,0.9274,0.0868
r3,custom,123,2,407.92,1123.92,0.971,0.5322,0.9669,0.0868
r3,custom,123,3,407.84,1123.84,0.9701,0.5322,0.9614,0.0594
r3,custom,123,4,399.26,1115.26,0.999,0.5322,0.9849,0.0684
r3,custom,123,5,398.16,1114.16,0.999,0.5322,0.9614,0.0868
r3,custom,123,6,398.06,1114.06,0.999,0.5322,0.9577,0.1029
r3,custom,123,7,398.06,1114.06,0.999,0.5322,0.9577,0.1029
r3,custom,123,8,398.02,1114.02,0.999,0.5322,0.957,0.0451
r3,custom,123,9,388.22,1104.22,0.999,0.5,0.9577,0.0
r3,custom,123,10,388.22,1104.22,0.999,0.5,0.9577,0.0
r3,custom,123,11,388.22,1104.22,0.999,0.5,0.9577,0.0
r3,custom,123,12,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,13,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,14,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,15,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,16,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,17,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,18,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,19,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,20,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,21,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,22,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,23,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,24,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,25,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,26,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,27,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,28,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,29,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,30,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,31,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,32,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,33,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,34,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,35,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,36,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,37,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,38,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,123,39,388.18,1104.18,0.999,0.5,0.957,0.0
r3,custom,999,0,443.94,1159.94,0.9109,0.5576,0.9561,0.5856
r3,custom,999,1,443.94,1159.94,0.9109,0.5576,0.9561,0.5856
r3,custom,999,2,431.7,1147.7,0.977,0.5452,0.9768,0.584
r3,custom,999,3,408.2,1124.2,0.9895,0.5325,0.9735,0.2175
r3,custom,999,4,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,5,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,6,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,7,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,8,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,9,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,10,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,11,398.02,1114.02,0.999,0.5082,0.9561,0.6143
r3,custom,999,12,398.02,1114.02,0.999,0.5082,0.9561,0.6143
