experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r3,custom,7,0,272.28,630.28,0.9808,0.6518,0.9894,0.354
r3,custom,7,1,272.28,630.28,0.9808,0.6518,0.9894,0.354
r3,custom,7,2,263.48,621.48,0.9337,0.5946,0.9894,0.2667
r3,custom,7,3,245.98,603.98,0.999,0.6138,1.0,0.3418
r3,custom,7,4,244.8,602.8,0.999,0.6138,0.9745,0.3632
r3,custom,7,5,219.04,577.04,0.999,0.5742,1.0,0.0674
r3,custom,7,6,214.86,572.86,0.999,0.5611,0.9745,0.2561
r3,custom,7,7,214.58,572.58,0.999,0.5589,0.959,0.2561
r3,custom,7,8,208.06,566.06,0.999,0.538,0.9731,0.0
r3,custom,7,9,201.16,559.16,0.999,0.5343,0.9616,0.2561
r3,custom,7,10,196.48,554.48,0.999,0.5064,0.9731,0.0
r3,custom,7,11,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,12,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,13,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,14,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,15,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,16,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,17,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,18,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,19,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,20,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,21,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,22,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,23,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,24,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,25,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,26,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,27,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,28,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,29,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,30,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,31,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,32,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,33,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,34,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,35,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,36,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,37,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,38,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,7,39,196.18,554.18,0.999,0.5343,0.9568,0.0
r3,custom,42,0,251.08,609.08,0.913,0.5495,0.9638,0.2385
r3,custom,42,1,212.82,570.82,0.9957,0.5495,0.9665,0.4909
r3,custom,42,2,212.82,570.82,0.9957,0.5495,0.9665,0.4909
r3,custom,42,3,201.22,559.22,0.9957,0.5248,0.9665,0.121
r3,custom,42,4,201.22,559.22,0.9957,0.5248,0.9665,0.121
r3,custom,42,5,201.06,559.06,0.999,0.5272,0.9578,0.4826
r3,custom,42,6,201.06,559.06,0.999,0.5272,0.9578,0.4826
r3,custom,42,7,201.06,559.06,0.999,0.5272,0.9578,0.4826
r3,custom,42,8,201.06,559.06,0.999,0.5272,0.9578,0.4826
r3,custom,42,9,201.06,559.06,0.999,0.5272,0.9578,0.4826
r3,custom,42,10,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,11,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,12,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,13,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,14,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,15,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,16,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,17,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,18,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,19,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,20,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,21,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,22,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,23,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,24,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,25,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,26,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,27,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,28,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,29,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,30,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,31,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,32,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,33,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,34,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,35,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,36,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,37,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,38,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,42,39,201.02,559.02,0.999,0.5119,0.9565,0.2095
r3,custom,123,0,262.78,620.78,0.9461,0.5828,0.9614,0.5675
r3,custom,123,1,239.92,597.92,0.9362,0.5322,0.9504,0.0868
r3,custom,123,2,230.02,588.02,0.9397,0.5296,0.9614,0.0868
r3,custom,123,3,230.02,588.02,0.9397,0.5296,0.9614,0.0868
r3,custom,123,4,230.02,588.02,0.9397,0.5296,0.9614,0.0868
r3,custom,123,5,230.02,588.02,0.9397,0.5296,0.9614,0.0868
r3,custom,123,6,230.02,588.02,0.9397,0.5296,0.9614,0.0868
r3,custom,123,7,230.02,588.02,0.9397,0.5296,0.9614,0.0868
r3,custom,123,8,230.0,588.0,0.9362,0.5322,0.957,0.4349
r3,custom,123,9,230.0,588.0,0.9362,0.5322,0.957,0.4349
r3,custom,123,10,230.0,588.0,0.9362,0.5322,0.957,0.4349
r3,custom,123,11,230.0,588.0,0.9362,0.5322,0.957,0.4349
r3,custom,123,12,201.02,559.02,0.999,0.5191,0.957,0.0868
r3,custom,123,13,201.02,559.02,0.999,0.5191,0.957,0.0868
r3,custom,123,14,201.02,559.02,0.999,0.5191,0.957,0.0868
r3,custom,123,15,196.42,554.42,0.999,0.5322,0.9675,0.0
r3,custom,123,16,196.42,554.42,0.999,0.5322,0.9675,0.0
