exp,config,split,L,TP,FP,FN,REVIEW,precision,recall,F1
R0,R0 · 17f + threshold มือ,test,,5864,88,1689,8783,0.9852,0.6683,0.7964
R1,R1 · 17f + GA,test,,6231,23,1885,3116,0.9963,0.7101,0.8292
R2,R2 · +BERT + threshold มือ,test,,5157,19,2523,1115,0.9963,0.5877,0.7393
R3,R3 · +BERT + GA,test,,6347,38,1873,640,0.994,0.7233,0.8373
R4,R4 · Bloom L=2000 + threshold มือ,test,2000.0,5158,14,2858,766,0.9973,0.5878,0.7397
R5,R5 · Bloom L=2000 + GA,test,2000.0,6303,57,1823,700,0.991,0.7183,0.8329
R4,R4 · Bloom L=1000 + threshold มือ,test,1000.0,5085,14,2931,766,0.9973,0.5795,0.733
R5,R5 · Bloom L=1000 + GA,test,1000.0,6288,57,1820,721,0.991,0.7166,0.8317
R4,R4 · Bloom L=500 + threshold มือ,test,500.0,4991,14,2453,1354,0.9972,0.5688,0.7244
R5,R5 · Bloom L=500 + GA,test,500.0,6277,57,1818,738,0.991,0.7153,0.8309
R4,R4 · Bloom L=250 + threshold มือ,test,250.0,5001,14,2760,1026,0.9972,0.5699,0.7253
R5,R5 · Bloom L=250 + GA,test,250.0,6276,57,1881,674,0.991,0.7152,0.8308
R0,R0 · 17f + threshold มือ,full,,19624,925,5558,86296,0.955,0.671,0.7882
R1,R1 · 17f + GA,full,,20855,234,6284,28438,0.9889,0.7131,0.8286
R2,R2 · +BERT + threshold มือ,full,,17275,110,8286,3897,0.9937,0.5907,0.7409
R3,R3 · +BERT + GA,full,,21274,465,6179,2751,0.9786,0.7274,0.8345
R4,R4 · Bloom L=2000 + threshold มือ,full,2000.0,17243,96,9492,2623,0.9945,0.5896,0.7403
R5,R5 · Bloom L=2000 + GA,full,2000.0,21135,648,6020,2759,0.9703,0.7226,0.8283
R4,R4 · Bloom L=1000 + threshold มือ,full,1000.0,16979,88,9752,2621,0.9948,0.5805,0.7332
R5,R5 · Bloom L=1000 + GA,full,1000.0,21087,647,6014,2816,0.9702,0.721,0.8272
R4,R4 · Bloom L=500 + threshold มือ,full,500.0,16660,85,8167,4726,0.9949,0.5696,0.7245
R5,R5 · Bloom L=500 + GA,full,500.0,21058,647,6010,2855,0.9702,0.72,0.8266
R4,R4 · Bloom L=250 + threshold มือ,full,250.0,16710,84,9171,3528,0.995,0.5713,0.7259
R5,R5 · Bloom L=250 + GA,full,250.0,21059,643,6206,2538,0.9704,0.72,0.8267
