feature,importance
fullname_token_sort,0.41647020130093293
username_token_sort,0.2262893486238912
fullname_jaro,0.15612603177140727
bio_tfidf_cosine,0.05877341747764885
username_jaro,0.04636392024366235
fullname_lev,0.040912534150159996
bio_sbert_cosine,0.01833018939973352
username_lev,0.00891871400078909
platform_pair_code,0.007610691901275926
style_biolen_ratio,0.004042775987377775
style_punct_diff,0.0038542944779479966
style_avgword_diff,0.003647335869657215
image_caption_bio_sbert_cross,0.003140355203865323
image_caption_fullname_token_cross,0.00235490041152691
image_caption_username_token_cross,0.0010243397346039287
style_caps_diff,0.0005635723022414376
domain_count_a,0.0004142625079189483
domain_count_b,0.0003452717495564011
mention_jaccard,0.0003250782091527547
image_one_local_only,0.00025220617961119304
image_any_local,0.00015857359482957024
image_metadata_any,6.001736886614079e-05
image_caption_any,2.196753334322572e-05
domain_jaccard,0.0
hashtag_count_a,0.0
image_both_local,0.0
hashtag_count_b,0.0
hashtag_jaccard,0.0
url_jaccard,0.0
location_jaro,0.0
location_token_sort,0.0
image_dhash_sim,0.0
image_phash_sim,0.0
image_filesize_ratio,0.0
image_rgb_l1,0.0
image_entropy_diff,0.0
image_contrast_diff,0.0
image_brightness_diff,0.0
image_blur_diff,0.0
image_face_count_diff,0.0
image_face_area_diff,0.0
