model,threshold,tp,fp,fn,tn,precision,recall,f1
logreg,0.01,1135,6824,72,454877,0.14260585500691042,0.9403479701739851,0.24765437486362646
logreg,0.02,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,0.03,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,0.04,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,0.05,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,0.060000000000000005,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,0.06999999999999999,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,0.08,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,0.09,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,0.09999999999999999,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,0.11,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,0.12,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.13,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.14,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.15000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.16,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.17,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.18000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.19,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.2,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.21000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.22,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.23,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.24000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.25,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.26,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.27,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.28,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.29000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.3,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.31,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.32,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.33,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.34,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.35000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.36000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.37,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.38,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.39,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.4,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.41000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.42000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.43,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.44,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.45,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.46,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.47000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.48000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.49,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,0.5,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.01,1207,8128,0,453573,0.12929833958221745,1.0,0.22898880667804972
gb,0.02,1205,7987,2,453714,0.13109225413402958,0.9983429991714996,0.2317530531781902
gb,0.03,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,0.04,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,0.05,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.060000000000000005,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.06999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.08,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.09,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.09999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.11,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,0.12,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.13,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.14,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.15000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.16,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.17,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.18000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.19,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.2,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.21000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.22,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.23,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.24000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.25,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.26,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.27,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.28,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.29000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.3,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.31,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.32,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.33,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.34,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.35000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.36000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.37,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.38,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.39,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.4,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.41000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.42000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.43,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.44,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.45,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.46,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.47000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.48000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.49,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,0.5,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
rf,0.01,1207,8128,0,453573,0.12929833958221745,1.0,0.22898880667804972
rf,0.02,1205,7986,2,453715,0.13110651724513112,0.9983429991714996,0.23177534141180997
rf,0.03,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
rf,0.04,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
rf,0.05,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.060000000000000005,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.06999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.08,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.09,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.09999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.11,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.12,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.13,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.14,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.15000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
