family,config_id,params,fit_seconds,threshold,val_ap,val_auc,val_f1,test_ap,test_auc,test_f1,test_precision,test_recall,val_composite,rank
gb,gb_2,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300}",93.9421566999954,0.4600000000000001,0.9779381136679446,0.9725218435734633,0.9339456022606852,0.9797065073269041,0.9736922733203889,0.9333489791128843,0.9617896009673519,0.9065420560747663,0.9614574806565076,1
gb,gb_4,"{""learning_rate"": 0.08, ""max_depth"": 4, ""n_estimators"": 300}",61.95043860000442,0.4700000000000001,0.9780825231271011,0.9732095076000479,0.9322173759283272,0.9784002249261813,0.9723350470134693,0.931892907468295,0.9610075078711553,0.9044905402325051,0.9610551185021197,2
gb,gb_3,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 500}",144.97219689999474,0.44000000000000006,0.9776271599663132,0.9723618534370753,0.9330977620730271,0.979061771708188,0.973397354128654,0.9339434471430248,0.9622823984526112,0.9072258946888534,0.9609888093978155,3
gb,gb_5,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500}",107.32224100000167,0.4100000000000001,0.9770301815166597,0.9723507090340987,0.9318022029528943,0.9776243294455174,0.9721131100884949,0.930873423633816,0.9542734019631315,0.9085935719170276,0.9602644945228296,4
rf,rf_4,"{""max_depth"": 24, ""min_samples_leaf"": 2, ""n_estimators"": 500}",58.18981270000222,0.4600000000000001,0.9757685585840972,0.9705047609976775,0.9311797752808989,0.9767319997907031,0.970770457010658,0.9306930693069307,0.9516436398284898,0.9106450877592888,0.9591097249106938,5
rf,rf_2,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""n_estimators"": 400}",34.342232300012256,0.42000000000000004,0.9758458536160599,0.9705003847808991,0.9302542570562164,0.9764168149996248,0.9705963040200862,0.9288945597958473,0.9456778460085026,0.91269660360155,0.9588197010530826,6
rf,rf_3,"{""max_depth"": 18, ""min_samples_leaf"": 1, ""n_estimators"": 600}",57.42867700000352,0.4000000000000001,0.9754166622249373,0.9704274568950801,0.930373831775701,0.9766080006126412,0.9708002421362334,0.9294336118848654,0.9467959328446441,0.91269660360155,0.9586538305017331,7
gb,gb_1,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",42.719625700003235,0.4600000000000001,0.9752776794352376,0.9697988038413289,0.9287058823529412,0.9759301085046272,0.9701243288040976,0.9274240825419158,0.9548527281506518,0.9015272395714611,0.9578817753376522,8
rf,rf_1,"{""max_depth"": 14, ""min_samples_leaf"": 2, ""n_estimators"": 300}",21.352679099989473,0.4600000000000001,0.9746530793755546,0.9686814823077982,0.9282769991755977,0.9755249621419407,0.9692846843723079,0.9261130036414895,0.9554047503635482,0.8985639389104172,0.9572271318920184,9
rf,rf_5,"{""max_depth"": 14, ""min_samples_leaf"": 4, ""n_estimators"": 400}",29.107416099999682,0.4100000000000001,0.9744596867281705,0.9683295366255097,0.9281015037593985,0.9754647639897076,0.9692108602257792,0.9261901976839396,0.9512253724171071,0.9024390243902439,0.9570082926685681,10
mlp,mlp_1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",49.00279939999746,0.4600000000000001,0.9721707098851027,0.9648212242055998,0.9244213509683514,0.9733640777831638,0.9648521293345631,0.9254504769756212,0.9573586744639376,0.8956006382493732,0.9539885371283392,11
mlp,mlp_2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [256, 128, 64], ""learning_rate_init"": 0.001}",57.361668799989275,0.45000000000000007,0.9711741958105633,0.9652306858798348,0.9217186580341378,0.973484516698996,0.9662628295219017,0.9204290934810798,0.953125,0.8899019831319809,0.9526760556026687,12
mlp,mlp_3,"{""alpha"": 0.001, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",70.48448389999976,0.45000000000000007,0.9723530552552447,0.9660363174891454,0.9196279513474839,0.9753533894907621,0.9679954471142161,0.9235547061634019,0.970138017565872,0.8812400273535446,0.9526359213343086,13
mlp,mlp_4,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003}",47.76523489999818,0.45000000000000007,0.9721148986478771,0.9657890204689522,0.9198202459791863,0.9735143645594289,0.9652036867134302,0.9185621685327048,0.9509516837481699,0.888306359699111,0.9525465945780505,14
mlp,mlp_5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [256, 128, 64], ""learning_rate_init"": 0.0003}",94.62626030000683,0.4100000000000001,0.9709828316931657,0.9644576448538627,0.9179324149299423,0.9722374319686051,0.9639066693250714,0.9182522903453136,0.9471771262418222,0.8910417141554593,0.9511101484581769,15
