idx_i,userName_i,idx_j,userName_j,match
345,DavidAdams1,346,DavidAdams,1
345,DavidAdams1,347,davyadams,1
345,DavidAdams1,348,@davnadam,1
346,DavidAdams,345,DavidAdams1,1
346,DavidAdams,347,davyadams,1
346,DavidAdams,348,@davnadam,1
347,davyadams,345,DavidAdams1,1
347,davyadams,346,DavidAdams,1
347,davyadams,348,@davnadam,1
348,@davnadam,345,DavidAdams1,1
348,@davnadam,346,DavidAdams,1
348,@davnadam,347,davyadams,1
670,JennTurner,671,JenoCyde,1
670,JennTurner,672,renrutnnej,1
670,JennTurner,673,@renrutnnej,1
671,JenoCyde,670,JennTurner,1
671,JenoCyde,672,renrutnnej,1
671,JenoCyde,673,@renrutnnej,1
672,renrutnnej,670,JennTurner,1
672,renrutnnej,671,JenoCyde,1
672,renrutnnej,673,@renrutnnej,1
673,@renrutnnej,670,JennTurner,1
673,@renrutnnej,671,JenoCyde,1
673,@renrutnnej,672,renrutnnej,1
905,MarkSilva,906,MarkSilva,1
905,MarkSilva,907,marksilva,1
905,MarkSilva,908,@marksilva,1
906,MarkSilva,905,MarkSilva,1
906,MarkSilva,907,marksilva,1
906,MarkSilva,908,@marksilva,1
907,marksilva,905,MarkSilva,1
907,marksilva,906,MarkSilva,1
907,marksilva,908,@marksilva,1
908,@marksilva,905,MarkSilva,1
908,@marksilva,906,MarkSilva,1
908,@marksilva,907,marksilva,1
1433,TonyBarlow03,1434,TonyBarlow,1
1433,TonyBarlow03,1435,tonybarlow,1
1433,TonyBarlow03,1436,@TonyBarlow03,1
1434,TonyBarlow,1433,TonyBarlow03,1
1434,TonyBarlow,1435,tonybarlow,1
1434,TonyBarlow,1436,@TonyBarlow03,1
1435,tonybarlow,1433,TonyBarlow03,1
1435,tonybarlow,1434,TonyBarlow,1
1435,tonybarlow,1436,@TonyBarlow03,1
1436,@TonyBarlow03,1433,TonyBarlow03,1
1436,@TonyBarlow03,1434,TonyBarlow,1
1436,@TonyBarlow03,1435,tonybarlow,1
1542,GiacomoGiallombardo,1543,aaarghhh,1
1543,aaarghhh,1542,GiacomoGiallombardo,1
1544,AgushCerrudo,1545,agushcerrudo,1
1545,agushcerrudo,1544,AgushCerrudo,1
1546,Ayhanztrk,1547,ayhanozturk,1
1547,ayhanozturk,1546,Ayhanztrk,1
1548,AbahGahul,1549,abrhmvch,1
1549,abrhmvch,1548,AbahGahul,1
1550,AdamMetcalfe,1551,adzyradzy,1
